"","Code","Intervention","WB_Region","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","Gross.benefits","Forgone.surplus","BCR","BCR.without.surplus"
"1",5.1,"Tobacco tax","LIC",666337.608273832,2477890.10156359,1811552.49328976,87789.7006363295,116033763.734397,115484931.24915,548832.485246538,806831834.452569,12586576.6174601,56.0372690261666,445.381426947983
"2",5.4,"Alcohol regulations","LIC",1117421.05233829,2005561.53081992,888140.478481625,13807.4263996734,41412761.2800934,41304810.6048421,107950.675251318,155593797.269467,2427263.23740368,46.9305733488686,175.190525642375
"3",5.3,"Tobacco regulations","LIC",1507309.00524942,2637827.6645091,1130518.65925968,18838.7512173269,116033763.734397,115904423.817744,129339.916652885,190287396.917909,2968483.39191938,46.4228596477949,168.318669806404
"4",5.2,"Alcohol tax","LIC",1837162.12247204,2478100.37778437,640938.255312325,4200.83315244863,41412761.2800934,41380999.3005985,31761.9794949687,45733439.6035397,713441.657815219,33.7670687229344,71.3538928664104
"5",4.3,"Treatment of early-stage breast cancer","LIC",1047344.09353363,6325065.70451806,5277721.61098443,7106.10066385123,8055266.83080412,7963537.26361104,91729.5671930789,132596724.620008,0,25.1238572993386,25.1238572993386
"6",2.5,"Aspirin for suspected ACS","LIC",563069.123290125,1142634.60958399,579565.486293862,1665.40707030842,30930186.2969468,30920480.461235,9705.83571184601,13939567.2594627,0,24.0517553048265,24.0517553048265
"7",1.2,"Pulmonary rehabilitation","LIC",7982325.36246019,15112585.1440325,7130259.78157235,5981.39593948008,10404625.6315269,10354708.6222765,49917.0092504292,71585888.3815816,0,10.0397307495851,10.0397307495851
"8",2.13,"Epilepsy acute and chronic treatment","LIC",55477197.174004,248343213.376737,192866016.202733,13801.8595277852,9209177.13985335,7840557.56252587,1368619.57732748,1923526201.86701,0,9.97338069058818,9.97338069058818
"9",2.7,"Heart failure chronic treatment","LIC",237928985.537256,530435773.491614,292506787.954358,266478.255570095,41017572.3993953,39129175.3431701,1888397.0562252,2705716404.12469,0,9.25009782865923,9.25009782865923
"10",1.1,"IDU harm reduction measures","LIC",1060756.22430817,45235404.847289,44174648.6229808,3044.68570404518,7744858.02961083,7485295.86765527,259562.161955567,375529926.424766,0,8.50102803600809,8.50102803600809
"11",5.6,"Trans fat regulations","LIC",5748702.4029406,28955587.0189163,23206884.6159757,17561.3533407662,30930186.2969468,30811631.0367018,118555.260245057,170254189.396444,391584.63561182,7.21462852447476,7.33636557486222
"12",5.5,"Salt regulations","LIC",0,52311038.8840537,52311038.8840537,25688.9640168987,64076453.3178157,63914249.98099,162203.336825693,232575477.815012,534923.598974528,4.40100751102235,4.44601144952428
"13",2.1,"Depression chronic treatment","LIC",93030314.8056389,202842977.204259,109812662.39862,2535.83101875935,28591228.040196,28291058.8966461,300169.143549842,429124137.621062,0,3.90778374959476,3.90778374959476
"14",2.4,"CVD primary prevention","LIC",1282715615.05189,2721321318.11002,1438605703.05813,601782.056810135,64076453.3178157,60372785.9453043,3703667.37251142,5315174781.47225,0,3.69467100691555,3.69467100691555
