"Intervention.package","Sub.components","metric","Base","Pessimistic","Optimistic"
"Alcohol regulations",NA,"BCR",35,15,63
"Alcohol regulations",NA,"DALYs averted (millions)",0.038,0.027,0.048
"Alcohol tax",NA,"BCR",23,9.7,41
"Alcohol tax",NA,"DALYs averted (millions)",0.013,0.0095,0.017
"First-level hospital cardiometabolic and respiratory disease package",NA,"BCR",3.1,2.2,3.9
"First-level hospital cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",3.5,2.5,4.5
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","BCR",1.8,1.3,2.3
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","DALYs averted (millions)",0.84,0.6,1.1
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","BCR",4.5,3.3,5.8
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","DALYs averted (millions)",2.2,1.6,2.8
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","BCR",2.7,1.9,3.4
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","DALYs averted (millions)",0.49,0.35,0.63
"First-level hospital surgical package",NA,"BCR",1.6,1.1,2.1
"First-level hospital surgical package",NA,"DALYs averted (millions)",0.98,0.7,1.3
"First-level hospital surgical package","Cervical cancer screening and treatment","BCR",3.2,2.3,4.1
"First-level hospital surgical package","Cervical cancer screening and treatment","DALYs averted (millions)",0.4,0.29,0.52
"First-level hospital surgical package","Management of appendicitis","BCR",2.4,1.7,3
"First-level hospital surgical package","Management of appendicitis","DALYs averted (millions)",0.054,0.039,0.069
"First-level hospital surgical package","Management of bowel obstruction","BCR",3,2.1,3.8
"First-level hospital surgical package","Management of bowel obstruction","DALYs averted (millions)",0.23,0.16,0.29
"First-level hospital surgical package","Repair of gastrointestinal perforations","BCR",3.8,2.7,4.9
"First-level hospital surgical package","Repair of gastrointestinal perforations","DALYs averted (millions)",0.0067,0.0048,0.0086
"First-level hospital surgical package","Repair of hernias","BCR",0.74,0.53,0.96
"First-level hospital surgical package","Repair of hernias","DALYs averted (millions)",0.29,0.21,0.37
"Outpatient cardiometabolic and respiratory disease package",NA,"BCR",2,1.5,2.6
"Outpatient cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",5.1,3.7,6.6
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","BCR",36,26,46
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","DALYs averted (millions)",0.0056,0.004,0.0072
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","BCR",0.41,0.3,0.53
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","DALYs averted (millions)",0.12,0.089,0.16
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","BCR",5.6,4,7.2
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","DALYs averted (millions)",2.1,1.5,2.7
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","BCR",2.1,1.5,2.7
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","DALYs averted (millions)",1.3,0.92,1.7
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","BCR",0.43,0.31,0.55
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","DALYs averted (millions)",0.49,0.35,0.63
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","BCR",14,10,18
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","DALYs averted (millions)",1.1,0.76,1.4
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","BCR",14,10,18
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","DALYs averted (millions)",0.028,0.02,0.037
"Outpatient mental, neurological, and substance use disorder package",NA,"BCR",2.1,1.5,2.7
"Outpatient mental, neurological, and substance use disorder package",NA,"DALYs averted (millions)",0.98,0.7,1.3
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","BCR",0.54,0.39,0.7
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","DALYs averted (millions)",0.078,0.056,0.1
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","BCR",0.41,0.29,0.52
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","DALYs averted (millions)",0.085,0.061,0.11
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","BCR",4.4,3.1,5.6
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","DALYs averted (millions)",0.12,0.089,0.16
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","BCR",55,40,71
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","DALYs averted (millions)",0.59,0.42,0.75
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","BCR",2.6,1.8,3.3
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","DALYs averted (millions)",0.02,0.014,0.026
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","BCR",1.2,0.83,1.5
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","DALYs averted (millions)",0.081,0.058,0.1
"Referral hospital NCDs package",NA,"BCR",1.8,1.3,2.3
"Referral hospital NCDs package",NA,"DALYs averted (millions)",0.059,0.042,0.076
"Referral hospital NCDs package","Management of acute ventilatory failure","BCR",0.32,0.23,0.41
"Referral hospital NCDs package","Management of acute ventilatory failure","DALYs averted (millions)",0.0075,0.0054,0.0097
"Referral hospital NCDs package","Treatment of early-stage breast cancer","BCR",35,25,46
"Referral hospital NCDs package","Treatment of early-stage breast cancer","DALYs averted (millions)",0.036,0.026,0.047
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","BCR",1.7,1.2,2.2
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","DALYs averted (millions)",0.016,0.011,0.02
"Sodium regulations",NA,"BCR",3.2,1.4,5.7
