"","Code","Intervention","WB_Region","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","Gross.benefits","Forgone.surplus","BCR","BCR.without.surplus"
"1",5.1,"Tobacco tax","LIC",507936.220913017,1776211.38479302,1268275.16388,87789.7006363295,88420097.9780052,88055742.2580909,364355.719914354,528601287.575128,8246180.08617199,55.5577039024109,416.78754155998
"2",5.4,"Alcohol regulations","LIC",852483.941037117,1474107.54181425,621623.600777129,13807.4263996734,31500939.2872662,31427813.8368268,73125.4504393777,103807559.668638,1619397.93083075,46.3215360515338,166.994238215637
"3",5.3,"Tobacco regulations","LIC",1149643.77850664,1941045.71693243,791401.938425793,18838.7512173269,88420097.9780052,88334299.7897547,85798.1882504857,124579467.391405,1943439.69130591,45.5527172166186,157.416176714465
"4",5.2,"Alcohol tax","LIC",1400706.13528438,1849489.52535879,448783.390074414,4200.83315244863,31500939.2872662,31479402.2095913,21537.0776748999,30540572.662029,476432.933527653,33.009115687808,68.0519229041989
"5",4.3,"Treatment of early-stage breast cancer","LIC",795040.815426775,4478025.08748502,3682984.27205824,7106.10066385123,6073076.95633765,6011116.49649656,61960.4598410852,88228361.5088752,0,23.9556715401254,23.9556715401254
"6",2.5,"Aspirin for suspected ACS","LIC",427070.122152507,831202.718516484,404132.596363978,1665.40707030842,23540852.6061078,23534254.6590486,6597.94705923349,9330751.04162253,0,23.0883406227863,23.0883406227863
"7",2.13,"Epilepsy acute and chronic treatment","LIC",42319395.6004187,177334665.465255,135015269.864836,13801.8595277852,7055577.848146,6103579.65471204,951998.193433954,1313176034.26159,0,9.72612975981319,9.72612975981319
"8",1.2,"Pulmonary rehabilitation","LIC",6062512.17185182,11037099.7123683,4974587.54051648,5981.39593948008,7949703.66689381,7915721.39893505,33982.2679587555,47982501.0565172,0,9.64552350636399,9.64552350636399
"9",2.7,"Heart failure chronic treatment","LIC",180714607.038051,384738929.768623,204024322.730572,266478.255570095,31233516.4355908,29946813.5100594,1286702.92553141,1815088686.58372,0,8.89643284825736,8.89643284825736
"10",1.1,"IDU harm reduction measures","LIC",807558.049325068,31691183.0457619,30883624.9964368,3044.68570404518,5829778.3687538,5654603.92364165,175174.445112155,249671611.03786,0,8.0842715538304,8.0842715538304
"11",5.6,"Trans fat regulations","LIC",4386516.9092433,20632650.2613414,16246133.3520981,17561.3533407662,23540852.6061078,23460253.3471052,80599.259002653,113973080.914181,262138.086102616,6.90399847984345,7.01539735296226
"12",5.5,"Salt regulations","LIC",0,36622716.1608301,36622716.1608301,25688.9640168987,48837631.6312404,48727190.1434515,110441.487788893,155915472.130753,358605.585900731,4.21606002074643,4.25734321414184
"13",2.1,"Depression chronic treatment","LIC",70774785.0514825,147484559.396009,76709774.3445269,2535.83101875935,21854072.3968493,21649039.1557449,205033.2411044,288455978.831536,0,3.76035493907194,3.76035493907194
"14",2.4,"CVD primary prevention","LIC",974750251.906842,1978495968.56868,1003745716.66184,601782.056810135,48837631.6312404,46318010.3111575,2519621.32008294,3560326074.53845,0,3.54703986820392,3.54703986820392
"15",3.7,"Management of appendicitis","LIC",1715377.98031656,45327706.985782,43612329.0054655,5903.89490371888,830569.280631627,735191.867660944,95377.4129706824,133248288.707701,0,3.05528945016907,3.05528945016907
"16",3.2,"Heart failure acute treatment","LIC",501489341.56625,2151237123.82033,1649747782.25408,685691.277614546,31233516.4355908,28025627.8314392,3207888.60415157,4510315730.78507,0,2.73394259371123,2.73394259371123
"17",3.9,"Repair of gastrointestinal perforations","LIC",241503.166590194,6973095.95029404,6731592.78370385,1468.43330735643,1918080.61258642,1906139.63676467,11940.9758217478,16800096.4777498,0,2.49570896778253,2.49570896778253
"18",3.3,"Cervical cancer screening and treatment","LIC",95482440.7518913,546195507.222788,450713066.470896,85126.5753554011,5329853.57466855,4635283.63355267,694569.941115876,985848944.088991,0,2.1873094379274,2.1873094379274
"19",3.6,"Management of bowel obstruction","LIC",10770567.9523781,307225364.587947,296454796.635569,38115.9449008528,3619262.61378108,3205641.98922775,413620.624553329,585073162.907061,0,1.97356618798882,1.97356618798882
"20",3.1,"Medical management of ACS","LIC",268865961.832556,869984746.174018,601118784.341462,176707.890156362,23540852.6061078,22791260.2895389,749592.316568934,1059905659.4213,0,1.76322165773351,1.76322165773351
"21",2.6,"CVD secondary prevention","LIC",1749670665.11778,3274539816.31442,1524869151.19665,360509.364397647,29745317.4952085,28245660.0892565,1499657.40595193,2120691657.76316,0,1.39073680918716,1.39073680918716
"22",4.4,"Treatment of early-stage colorectal cancer","LIC",6660560.5825657,39413823.6771447,32753263.094579,4152.16179889577,2306156.49100756,2279378.67370783,26777.1454569093,38090670.8499088,0,1.16295804604009,1.16295804604009
"23",3.4,"Asthma/COPD acute treatment","LIC",443350464.075261,2072649723.08128,1629299259.00602,166985.406691684,14950699.7786193,13627672.2581045,1323027.5205148,1859771063.41485,0,1.14145455669662,1.14145455669662
"24",2.12,"Schizophrenia chronic treatment","LIC",197789797.215083,367444708.283875,169654911.068792,22.8031897376272,2228072.45694559,2153161.05157442,74911.4053711746,102469501.207474,0,0.603987827773075,0.603987827773075
"25",3.8,"Repair of hernias","LIC",50231626.0652768,1543367442.54945,1493135816.48417,26763.5243967287,4121813.24807576,3598048.79755841,523764.450517346,735279577.226298,0,0.4924398498173,0.4924398498173
"26",2.9,"Alcohol use screening/brief intervention","LIC",14502019.2063661,570668741.057181,556166721.850815,5289.46666713853,9333262.0802437,9192435.48481321,140826.595430494,198882139.575354,0,0.357594461807267,0.357594461807267
"27",2.3,"Diabetes screening and treatment","LIC",3424477537.87182,6308590614.62915,2884113076.75733,61197.9058109679,41512250.4109366,40920526.9300514,591723.480885183,837217321.202228,0,0.290285886482484,0.290285886482484
"28",2.14,"Asthma/COPD chronic treatment","LIC",744821318.522036,1557861154.12917,813039835.607133,12894.7340469956,7000996.11172548,6845403.44798772,155592.663737752,218697846.044901,0,0.268987860701302,0.268987860701302
"29",2.11,"Bipolar disorder chronic treatment","LIC",75708637.217904,832562697.399666,756854060.181762,67.905572016718,2417695.64477075,2298631.48793476,119064.156835987,162946646.639285,0,0.215294672000772,0.215294672000772
"30",4.2,"Management of acute ventilatory failure","LIC",19223952.6476215,102206049.836349,82982097.188728,1815.0249696963,14950699.7786193,14938420.1301237,12279.6484955772,17310199.635502,0,0.208601616757564,0.208601616757564
"31",5.1,"Tobacco tax","LIC/LMC",8860282.17037087,40662370.7483351,31802088.5779642,1108905.62259555,721631256.157733,717157819.844071,4473436.31366197,24039016307.8441,375008654.402367,59.0913999264919,755.894263010788
"32",5.3,"Tobacco regulations","LIC/LMC",32423658.4761944,47251481.0775606,14827822.6013662,235214.487304478,721631256.157733,720671145.69029,960110.467442869,5158764565.12482,80476727.2159472,54.1292579946447,347.9111332671
"33",5.4,"Alcohol regulations","LIC/LMC",10484108.4686464,28642951.478751,18158843.0101046,109087.248044742,216543022.29782,215977934.89551,565087.402309968,2984138330.29476,46552557.9525982,46.1145684670727,164.335267871098
"34",2.5,"Aspirin for suspected ACS","LIC/LMC",11149587.34298,19412897.6728399,8263310.32985983,16850.461692974,242772346.74851,242704274.407355,68068.8679863933,356993817.202717,0,43.2022764427356,43.2022764427356
"35",5.2,"Alcohol tax","LIC/LMC",10651073.7774943,30780946.5171527,20129872.7396584,51608.2108697869,216543022.29782,216278160.452214,264861.376296519,1398069946.32293,21809891.1626377,33.3351887621473,69.4524980065353
