"","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR"
"1","Tobacco tax","LIC",0.000146772394195028,0.17960180042762,0.0250316979428822,170.547725137063
"2","Alcohol regulations","LIC",0.0001641814869474,0.0440080980733292,0.00594753082172467,36.2253438698001
"3","Alcohol tax","LIC",9.0256737485194e-05,0.0155187126543445,0.00209608743941661,23.2236118634407
"4","Tobacco regulations","LIC",0.000870440348135742,0.0643928723265824,0.00898184351801911,10.3187352668749
"5","Trans fat regulations","LIC",0.00573815532899083,0.045809205692996,0.0307937791307367,5.36649452048772
"6","Sodium regulations","LIC",0.0114512323471692,0.0557844245988288,0.03740617159279,3.26656297407476
"7","First-level hospital cardiometabolic 
and respiratory disease package","LIC",1.73764766318587,4.08665330473073,5.48747138933811,3.15798852989401
"8","Outpatient mental, neurological, and 
substance use disorder package","LIC",0.702110528227845,1.12910721486469,1.48638689291583,2.11702692547216
"9","Outpatient cardiometabolic and 
respiratory disease package","LIC",3.83836350436443,5.96561734457562,8.01477669977251,2.08807130712328
"10","Referral hospital NCDs package","LIC",0.0515333941339538,0.0695919414378239,0.0942578570131626,1.82906363140282
"11","First-level hospital surgical package","LIC",0.938906930455645,1.14836149059493,1.54402260426047,1.64448951666718
"12","Tobacco tax","LIC+LMIC",0.00207502357032943,2.19869958182776,1.27820953425435,615.9975975846
"13","Alcohol regulations","LIC+LMIC",0.0023665402640749,0.327704671343293,0.177576445206112,75.0363084464687
"14","Alcohol tax","LIC+LMIC",0.00181902184722625,0.16774072564501,0.0941769518232293,51.7734033633712
"15","Tobacco regulations","LIC+LMIC",0.0126818468307484,0.909416173019374,0.533390672560338,42.0593845422481
"16","Trans fat regulations","LIC+LMIC",0.0839743908632932,1.11062445538959,3.21893566491962,38.3323490867581
"17","Sodium regulations","LIC+LMIC",0.0974430621546562,0.769952879821719,2.1740992993336,22.3114837655963
"18","First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",19.5357817975709,36.646163148742,200.410812046437,10.2586532816084
"19","Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",65.1077899553694,54.4010760820215,298.022250655124,4.57736702258539
"20","Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",7.19178760882813,6.27654253328178,31.6163509165719,4.39617416923742
"21","First-level hospital surgical package","LIC+LMIC",13.1502461684226,5.23383651576865,25.9348849637194,1.97219767839756
"22","Referral hospital NCDs package","LIC+LMIC",3.57938189148786,1.05823662791408,6.02320193169812,1.68274917689613
"23","Tobacco tax","LMIC",0.00192825117613441,2.01909778140014,1.25317783631147,649.903836088269
"24","Alcohol regulations","LMIC",0.0022023587771275,0.283696573269964,0.171628914384387,77.9295890237465
"25","Alcohol tax","LMIC",0.00172876510974106,0.152222012990665,0.0920808643838127,53.2639534804153
"26","Tobacco regulations","LMIC",0.0118114064826127,0.845023300692791,0.524408829042319,44.3985083244989
"27","Trans fat regulations","LMIC",0.0782362355343023,1.06481524969659,3.18814188578888,40.7501954051848
"28","Sodium regulations","LMIC",0.085991829807487,0.71416845522289,2.13669312774081,24.847629507644
"29","First-level hospital cardiometabolic 
and respiratory disease package","LMIC",17.7981341343851,32.5595098440113,194.923340657099,10.9518974958458
"30","Outpatient cardiometabolic and 
respiratory disease package","LMIC",61.269426451005,48.4354587374458,290.007473955352,4.73331465224765
"31","Outpatient mental, neurological, and 
substance use disorder package","LMIC",6.48967708060028,5.14743531841709,30.1299640236561,4.6427524281176
"32","First-level hospital surgical package","LMIC",12.211339237967,4.08547502517371,24.390862359459,1.9973945432311
"33","Referral hospital NCDs package","LMIC",3.5278484973539,0.988644686476256,5.92894407468496,1.68061187410174
