"","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR"
"1","Tobacco tax","LIC",1.27957134829554e-13,1.51319818195267e-07,2.09082184991936e-11,163.400177153423
"2","Alcohol regulations","LIC",1.43108105559342e-13,3.75991532106119e-08,5.03391055247371e-12,35.1755795578353
"3","Alcohol tax","LIC",7.86927722125709e-14,1.32620821388854e-08,1.77454439173739e-12,22.5502843761032
"4","Tobacco regulations","LIC",7.58855379529686e-13,5.42330614294909e-08,7.49967683339335e-12,9.88288023739306
"5","Trans fat regulations","LIC",5.00256260603422e-12,3.92274705646111e-08,2.61227140692081e-11,5.22186649652285
"6","Sodium regulations","LIC",9.98326244144881e-12,4.78214624830076e-08,3.17664785676312e-11,3.18197370388082
"7","First-level hospital cardiometabolic 
and respiratory disease package","LIC",1.51277943770075e-09,3.5013915759946e-06,4.65758086914809e-09,3.07882349077079
"8","Outpatient mental, neurological, and 
substance use disorder package","LIC",6.11438756673409e-10,9.7684237778519e-07,1.27185390837971e-09,2.08010024634249
"9","Outpatient cardiometabolic and 
respiratory disease package","LIC",3.34015271243855e-09,5.11007557806677e-06,6.80108871263123e-09,2.03616100764026
"10","Referral hospital NCDs package","LIC",4.48891660795355e-11,5.94002256145012e-08,7.97018814268463e-11,1.77552599853668
"11","First-level hospital surgical package","LIC",8.17828482407386e-10,9.83463568492179e-07,1.30967960982063e-09,1.60141110024124
"12","Tobacco tax","LIC+LMIC",1.81259180440943e-12,1.85281253566256e-06,1.0683505580325e-09,589.404936860887
"13","Alcohol regulations","LIC+LMIC",2.06748469355157e-12,2.79583976807965e-07,1.50132154199385e-10,72.615847975873
"14","Alcohol tax","LIC+LMIC",1.58903998001557e-12,1.43109221421229e-07,7.96248445448826e-11,50.1087735653464
"15","Tobacco regulations","LIC+LMIC",1.10788548011474e-11,7.66376217300731e-07,4.45840436591985e-10,40.2424659041302
"16","Trans fat regulations","LIC+LMIC",7.335993689173e-11,9.51772109212112e-07,2.73390982572119e-09,37.2670689419497
"17","Sodium regulations","LIC+LMIC",8.50866833283383e-11,6.60070397055118e-07,1.84712823023616e-09,21.7087816563297
"18","First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",1.70148463569933e-08,3.14079937055002e-05,1.70230289865132e-07,10.0048091116124
"19","Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",5.67381425747326e-08,4.66212737747234e-05,2.53125148877394e-07,4.46128719395405
"20","Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",6.27796327811669e-09,5.43750483361547e-06,2.71030776933775e-08,4.31717684425642
"21","First-level hospital surgical package","LIC+LMIC",1.14747392479426e-08,4.48994107007171e-06,2.2051141842169e-08,1.92171180239436
"22","Referral hospital NCDs package","LIC+LMIC",3.117323695655e-09,9.06093088856206e-07,5.11194677190542e-09,1.6398511258329
"23","Tobacco tax","LMIC",1.68463466957987e-12,1.70149271746729e-06,1.04744233953331e-09,621.762307547977
"24","Alcohol regulations","LMIC",1.92437658799223e-12,2.41984823597353e-07,1.45098243646911e-10,75.4001293469787
"25","Alcohol tax","LMIC",1.510347207803e-12,1.29847139282343e-07,7.78503001531452e-11,51.5446380480876
"26","Tobacco regulations","LMIC",1.03199994216178e-11,7.12143155871241e-07,4.38340759758592e-10,42.4748822020649
"27","Trans fat regulations","LMIC",6.83573742856958e-11,9.12544638647501e-07,2.70778711165198e-09,39.6122165303619
"28","Sodium regulations","LMIC",7.51034208868895e-11,6.12248934572111e-07,1.81536175166853e-09,24.1714921934459
"29","First-level hospital cardiometabolic 
and respiratory disease package","LMIC",1.55020669192925e-08,2.79066021295056e-05,1.65572708995984e-07,10.6806859922612
"30","Outpatient cardiometabolic and 
respiratory disease package","LMIC",5.33979898622941e-08,4.15111981966566e-05,2.46324060164763e-07,4.61298376212284
"31","Outpatient mental, neurological, and 
substance use disorder package","LMIC",5.66652452144328e-09,4.46066245583028e-06,2.58312237849978e-08,4.55856560529248
"32","First-level hospital surgical package","LMIC",1.06569107655352e-08,3.50647750157953e-06,2.07414622323484e-08,1.94629219374032
"33","Referral hospital NCDs package","LMIC",3.07243452957546e-09,8.46692863241705e-07,5.03224489047857e-09,1.63786887630569
