"","Code","Intervention package","wb2021","Incremental cost (billions)","Adjusted cost (billions)","DALY.ave (millions)","benefit (billions)","BCR","Intervention"
"1",5.4,"Alcohol regulations","LIC",0.000143108105559342,0.000143108105559342,0.0375991532106119,0.0503391055247372,351.755795578353,"Alcohol regulations"
"2",5.2,"Alcohol tax","LIC",7.86927722125709e-05,7.86927722125709e-05,0.0132620821388854,0.0177454439173739,225.502843761032,"Alcohol tax"
"3",2.13,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.00733988397267178,0.00733988397267178,0.588034832728009,0.763323087403147,103.996614966284,"Epilepsy acute and chronic treatment"
"4",5.3,"Tobacco regulations","LIC",0.000758855379529686,0.000758855379529686,0.0542330614294909,0.0749967683339335,98.8288023739306,"Tobacco regulations"
"5",2.5,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.000206310270134605,0.000206310270134605,0.00557174704500109,0.00742297549032861,35.9796702582259,"Aspirin for suspected ACS"
"6",4.3,"Referral hospital NCDs package","LIC",0.00137284007096563,0.00137284007096563,0.0361782351617471,0.0486364951416056,35.4276482528628,"Treatment of early-stage breast cancer"
"7",2.7,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.0986283116980602,0.0986283116980602,1.05932437160299,1.41028052428313,14.2989421597376,"Heart failure chronic treatment"
"8",1.2,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.00267407825189318,0.00267407825189318,0.0284375900940405,0.0378167853156126,14.1419890344792,"Pulmonary rehabilitation"
"9",5.6,"Trans fat regulations","LIC",0.0050025625982349,0.00750384389735235,0.0392274705646111,0.0522454281384162,6.96248867288543,"Trans fat regulations"
"10",2.4,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.499091664767033,0.499091664767033,2.11175077365788,2.80868565339004,5.62759479203301,"CVD primary prevention"
"11",3.2,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.638216197334958,0.638216197334958,2.16763460656437,2.88569118967074,4.52149475635484,"Heart failure acute treatment"
"12",2.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0375840802504097,0.0375840802504097,0.123891765960804,0.164246132231692,4.37009848684276,"Depression chronic treatment"
"13",5.5,"Sodium regulations","LIC",0.00998326244144881,0.0149748936621732,0.0478214624830076,0.0635329571352624,4.24263160517443,"Sodium regulations"
"14",3.9,"First-level hospital surgical package","LIC",0.00231889322402996,0.00231889322402996,0.00672324937827456,0.00890455733840366,3.84000317312093,"Repair of gastrointestinal perforations"
"15",3.3,"First-level hospital surgical package","LIC",0.16822649666332,0.16822649666332,0.404447272792044,0.541484829610366,3.21878443854221,"Cervical cancer screening and treatment"
"16",3.6,"First-level hospital surgical package","LIC",0.10227860522271,0.10227860522271,0.228548496769501,0.304704785383775,2.97916445692903,"Management of bowel obstruction"
"17",3.1,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.246735221565674,0.246735221565674,0.493361132162055,0.657289203833922,2.66394558370326,"Medical management of ACS"
"18",1.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0106075646918338,0.0106075646918338,0.0201768849723342,0.0271600058177348,2.56043744316202,"IDU harm reduction measures"
"19",3.7,"First-level hospital surgical package","LIC",0.030260703188396,0.030260703188396,0.0540926967542433,0.0711358306438556,2.3507659488605,"Management of appendicitis"
"20",2.6,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.804084794895064,0.804084794895064,1.28682925863933,1.71369835679722,2.13124084384765,"CVD secondary prevention"
"21",3.4,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.627828018800117,0.627828018800117,0.840395837268175,1.11460047564343,1.77532770482849,"Asthma/COPD acute treatment"
"22",4.4,"Referral hospital NCDs package","LIC",0.0121516203399017,0.0121516203399017,0.0156902804472132,0.0210668405741022,1.73366513969549,"Treatment of early-stage colorectal cancer"
"23",2.12,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0898983169885125,0.0898983169885125,0.0811940551328182,0.103820145017916,1.15486194286799,"Schizophrenia chronic treatment"
"24",3.8,"First-level hospital surgical package","LIC",0.51474378410893,0.51474378410893,0.289651852798116,0.383449606844234,0.744932952435785,"Repair of hernias"
"25",2.9,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.190634345491033,0.190634345491033,0.0780471172537772,0.103853824251844,0.544780238756759,"Alcohol use screening/brief intervention"
"26",5.1,"Tobacco tax","LIC",0.398344937950393,0.398344937950393,0.151319818195267,0.209082184991936,0.524877223412773,"Tobacco tax"
