"Intervention.package","Sub.components","metric","Base","Pessimistic","Optimistic"
"Alcohol regulations",NA,"BCR",70,30,130
"Alcohol regulations",NA,"DALYs averted (millions)",0.18,0.13,0.23
"Alcohol tax",NA,"BCR",48,21,86
"Alcohol tax",NA,"DALYs averted (millions)",0.094,0.067,0.12
"First-level hospital cardiometabolic and respiratory disease package",NA,"BCR",10,7.3,13
"First-level hospital cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",20,15,26
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","BCR",7.5,5.4,9.6
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","DALYs averted (millions)",5.4,3.9,6.9
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","BCR",14,9.9,17
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","DALYs averted (millions)",11,8.2,14
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","BCR",7.8,5.6,10
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","DALYs averted (millions)",3.7,2.6,4.7
"First-level hospital surgical package",NA,"BCR",1.8,1.3,2.4
"First-level hospital surgical package",NA,"DALYs averted (millions)",2.6,1.8,3.3
"First-level hospital surgical package","Cervical cancer screening and treatment","BCR",3.8,2.7,4.9
"First-level hospital surgical package","Cervical cancer screening and treatment","DALYs averted (millions)",0.89,0.64,1.1
"First-level hospital surgical package","Management of appendicitis","BCR",4.3,3.1,5.5
"First-level hospital surgical package","Management of appendicitis","DALYs averted (millions)",0.13,0.097,0.17
"First-level hospital surgical package","Management of bowel obstruction","BCR",2.9,2.1,3.8
"First-level hospital surgical package","Management of bowel obstruction","DALYs averted (millions)",0.61,0.43,0.78
"First-level hospital surgical package","Repair of gastrointestinal perforations","BCR",4.6,3.3,5.9
"First-level hospital surgical package","Repair of gastrointestinal perforations","DALYs averted (millions)",0.022,0.016,0.028
"First-level hospital surgical package","Repair of hernias","BCR",0.99,0.71,1.3
"First-level hospital surgical package","Repair of hernias","DALYs averted (millions)",0.92,0.66,1.2
"Outpatient cardiometabolic and respiratory disease package",NA,"BCR",4.4,3.1,5.6
"Outpatient cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",30,22,39
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","BCR",70,50,90
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","DALYs averted (millions)",0.041,0.029,0.053
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","BCR",1.3,0.94,1.7
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","DALYs averted (millions)",0.41,0.3,0.53
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","BCR",18,13,23
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","DALYs averted (millions)",13,9.3,17
