"","Code","Intervention package","wb2021","Incremental cost (billions)","Adjusted cost (billions)","DALY.ave (millions)","benefit (billions)","BCR","Intervention"
"1",2.7,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",0.149786715608103,0.149786715608103,2.94523268564636,17.4755368866844,116.669471092529,"Heart failure chronic treatment"
"2",2.5,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",0.00160466115045813,0.00160466115045813,0.0286543774480741,0.170173541505908,106.049517966658,"Aspirin for suspected ACS"
"3",5.1,"Tobacco tax","LMIC",0.00557552422824247,0.0607549967927336,0.996241935254783,6.13105250716568,100.914374632951,"Tobacco tax"
"4",5.3,"Tobacco regulations","LMIC",0.00467106186235495,0.0247127762521574,0.361839268327793,2.22685715442249,90.1095502868922,"Tobacco regulations"
"5",5.4,"Alcohol regulations","LMIC",0.00358308305781754,0.00890119284916739,0.0982151273301219,0.590901087927761,66.3844832867578,"Alcohol regulations"
"6",4.3,"Referral hospital NCDs package","LMIC",0.00660104406122166,0.00660104406122166,0.0621396365482242,0.370391075255508,56.1109836293017,"Treatment of early-stage breast cancer"
"7",5.6,"Trans fat regulations","LMIC",0.0542705066796769,0.0571813160637912,0.490537037684885,2.9108093841143,50.9049036378775,"Trans fat regulations"
"8",5.2,"Alcohol tax","LMIC",0.00390299610354713,0.00632479841825553,0.0447259867241284,0.269089146078712,42.5450944494971,"Alcohol tax"
"9",1.2,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",0.0395082134375651,0.0395082134375651,0.235903968210892,1.3991920449322,35.4152193478288,"Pulmonary rehabilitation"
"10",2.13,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.166488007053405,0.166488007053405,0.83029325023072,4.76702924919945,28.6328687187079,"Epilepsy acute and chronic treatment"
"11",3.2,"First-level hospital cardiometabolic 
and respiratory disease package","LMIC",1.50629381126773,1.50629381126773,6.38132573634873,37.8624798530954,25.1361849659526,"Heart failure acute treatment"
"12",2.4,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",2.13875879271168,2.13875879271168,8.00025857696629,47.4476493733074,22.1846659543827,"CVD primary prevention"
"13",2.1,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.0856212652399168,0.0856212652399168,0.207520871619311,1.21955459937114,14.2435946952415,"Depression chronic treatment"
"14",3.4,"First-level hospital cardiometabolic 
and respiratory disease package","LMIC",2.07820162643769,2.07820162643769,4.18288560205673,24.7588696996006,11.913603273442,"Asthma/COPD acute treatment"
"15",3.1,"First-level hospital cardiometabolic 
and respiratory disease package","LMIC",1.69569313652016,1.69569313652016,2.57334695554857,15.2752055834593,9.00823695896213,"Medical management of ACS"
"16",2.6,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",4.67334681729217,4.67334681729217,6.14885065838067,36.4937651786895,7.80891438308332,"CVD secondary prevention"
"17",3.7,"First-level hospital surgical package","LMIC",0.057147234165164,0.057147234165164,0.0743420950646963,0.434216926307945,7.5982142032105,"Management of appendicitis"
"18",1.1,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.0453047922350881,0.0453047922350881,0.0471617738935967,0.282928311193452,6.24499743261877,"IDU harm reduction measures"
"19",4.4,"Referral hospital NCDs package","LMIC",0.0545710320520383,0.0545710320520383,0.0501432055737821,0.299926703475616,5.49607900377638,"Treatment of early-stage colorectal cancer"
"20",3.9,"First-level hospital surgical package","LMIC",0.0189511000067152,0.0189511000067152,0.0160042041086466,0.0940599252623346,4.96329633789095,"Repair of gastrointestinal perforations"
"21",3.6,"First-level hospital surgical package","LMIC",0.478585784552233,0.478585784552233,0.305004735964682,1.79889288804001,3.75876790766584,"Management of bowel obstruction"
"22",3.3,"First-level hospital surgical package","LMIC",0.669641537897074,0.669641537897074,0.424261607911578,2.51627087895954,3.7576385820712,"Cervical cancer screening and treatment"
"23",4.2,"Referral hospital NCDs package","LMIC",0.0974795067388399,0.0974795067388399,0.0445034852556571,0.263704210250483,2.70522717105022,"Management of acute ventilatory failure"
"24",2.9,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.57458883401813,0.57458883401813,0.257496786783246,1.52430134850333,2.65285584797013,"Alcohol use screening/brief intervention"
"25",2.12,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.590399800776408,0.590399800776408,0.200006277312136,1.1305160040492,1.91483127630211,"Schizophrenia chronic treatment"
"26",2.14,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",0.89572080448964,0.89572080448964,0.24494076968338,1.44513754102296,1.61337945236894,"Asthma/COPD chronic treatment"
"27",4.1,"Referral hospital NCDs package","LMIC",1.30853617110808,1.30853617110808,0.259764074216061,1.54175924786504,1.17823204425405,"PCI for ACS"
"28",2.11,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.71972626523713,0.71972626523713,0.0825378650887392,0.4672285869834,0.649175401191536,"Bipolar disorder chronic treatment"
"29",3.8,"First-level hospital surgical package","LMIC",2.89873570412528,2.89873570412528,0.288285912751093,1.69625113463957,0.585169297161374,"Repair of hernias"
"30",2.3,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",14.868158052678,14.868158052678,1.33590859215203,7.94768821838038,0.534544238110846,"Diabetes screening and treatment"
"31",5.5,"Sodium regulations","LMIC",0,0,0,0,NA,"Sodium regulations"
