"WB_Region","Code","Intervention","Metric","Base","Pessimistic","Optimistic"
"LIC",5.4,"Alcohol regulations","BCR",75.3169246590186,46.3215360515338,105.522282690739
"LIC",5.4,"Alcohol regulations","DALYS.avert",102377.721596124,73125.4504393777,131631.187822499
"LIC",5.2,"Alcohol tax","BCR",51.2922921293781,33.009115687808,69.8637432745705
"LIC",5.2,"Alcohol tax","DALYS.avert",30152.1702857745,21537.0776748999,38767.4123608596
"LIC",2.9,"Alcohol use screening/brief intervention","BCR",0.500633338564384,0.357594461807267,0.64367283935422
"LIC",2.9,"Alcohol use screening/brief intervention","DALYS.avert",197158.003672468,140826.595430494,253489.851964558
"LIC",2.5,"Aspirin for suspected ACS","BCR",32.3237162579372,23.0883406227863,41.5591143998962
"LIC",2.5,"Aspirin for suspected ACS","DALYS.avert",9237.15741502997,6597.94705923349,11876.385789675
"LIC",3.4,"Asthma/COPD acute treatment","BCR",1.57150960172435,1.14145455669662,1.98638062820839
"LIC",3.4,"Asthma/COPD acute treatment","DALYS.avert",1823235.5804064,1323027.5205148,2306832.08124879
"LIC",2.14,"Asthma/COPD chronic treatment","BCR",0.376583944947009,0.268987860701302,0.484180566374624
"LIC",2.14,"Asthma/COPD chronic treatment","DALYS.avert",217831.33264504,155592.663737752,280070.917896656
"LIC",2.11,"Bipolar disorder chronic treatment","BCR",0.301031598309867,0.215294672000772,0.386550843178691
"LIC",2.11,"Bipolar disorder chronic treatment","DALYS.avert",166493.763645259,119064.156835987,213811.33848103
"LIC",3.3,"Cervical cancer screening and treatment","BCR",3.06265021460003,2.1873094379274,3.93822949506448
"LIC",3.3,"Cervical cancer screening and treatment","DALYS.avert",972573.25002212,694569.941115876,1250676.84912568
"LIC",2.4,"CVD primary prevention","BCR",4.96882323178972,3.54703986820392,6.3923148872584
"LIC",2.4,"CVD primary prevention","DALYS.avert",3531039.35062404,2519621.32008294,4544514.95034136
"LIC",2.6,"CVD secondary prevention","BCR",1.94535555575607,1.39073680918716,2.49901277299937
"LIC",2.6,"CVD secondary prevention","DALYS.avert",2100923.57407485,1499657.40595193,2702996.45884629
"LIC",2.1,"Depression chronic treatment","BCR",5.26216011055216,3.76035493907194,6.76262996414747
"LIC",2.1,"Depression chronic treatment","DALYS.avert",286924.935719596,205033.2411044,368747.143177956
"LIC",2.3,"Diabetes screening and treatment","BCR",0.406389682139055,0.290285886482484,0.5224874416441
"LIC",2.3,"Diabetes screening and treatment","DALYS.avert",828471.654150256,591723.480885183,1065253.439341
"LIC",2.13,"Epilepsy acute and chronic treatment","BCR",13.2918734837925,9.72612975981319,16.6720683180478
"LIC",2.13,"Epilepsy acute and chronic treatment","DALYS.avert",1302956.42895997,951998.193433954,1636862.28961748
"LIC",3.2,"Heart failure acute treatment","BCR",3.66721992690956,2.73394259371123,4.51977042353811
"LIC",3.2,"Heart failure acute treatment","DALYS.avert",4320514.84625093,3207888.60415157,5345866.57998336
"LIC",2.7,"Heart failure chronic treatment","BCR",12.2502231419213,8.89643284825736,15.4927375887691
"LIC",2.7,"Heart failure chronic treatment","DALYS.avert",1775077.12356887,1286702.92553141,2249054.35696883
"LIC",1.1,"IDU harm reduction measures","BCR",11.3180170135793,8.0842715538304,14.5517835242783
"LIC",1.1,"IDU harm reduction measures","DALYS.avert",245245.234772516,175174.445112155,315316.602513963
"LIC",4.2,"Management of acute ventilatory failure","BCR",0.291998889020724,0.208601616757564,0.375371375176847
"LIC",4.2,"Management of acute ventilatory failure","DALYS.avert",17189.1096830463,12279.6484955772,22097.2004057223
"LIC",3.7,"Management of appendicitis","BCR",4.24396766221115,3.05528945016907,5.41353859850447
"LIC",3.7,"Management of appendicitis","DALYS.avert",132533.407203312,95377.4129706824,169120.841786823
"LIC",3.6,"Management of bowel obstruction","BCR",2.76299897439583,1.97356618798882,3.5524353621189
"LIC",3.6,"Management of bowel obstruction","DALYS.avert",579079.807693108,413620.624553329,744545.239605061
"LIC",3.1,"Medical management of ACS","BCR",2.46776689406363,1.76322165773351,3.17188575277757
"LIC",3.1,"Medical management of ACS","DALYS.avert",1049746.39261414,749592.316568934,1350082.16361855
"LIC",1.2,"Pulmonary rehabilitation","BCR",13.5036948280258,9.64552350636399,17.3618443797597
"LIC",1.2,"Pulmonary rehabilitation","DALYS.avert",47575.9076767701,33982.2679587555,61169.9660489105
"LIC",3.9,"Repair of gastrointestinal perforations","BCR",3.49399286332184,2.49570896778253,4.49227693509445
"LIC",3.9,"Repair of gastrointestinal perforations","DALYS.avert",16717.3820768138,11940.9758217478,21493.7974327962
"LIC",3.8,"Repair of hernias","BCR",0.680996520551983,0.4924398498173,0.864741973288262
"LIC",3.8,"Repair of hernias","DALYS.avert",724743.780072062,523764.450517346,920850.426785178
"LIC",5.5,"Salt regulations","BCR",5.92577618644095,4.21606002074643,7.6418954828452
"LIC",5.5,"Salt regulations","DALYS.avert",154638.690096963,110441.487788893,198847.682832435
"LIC",2.12,"Schizophrenia chronic treatment","BCR",0.845185433148725,0.603987827773075,1.08615588096108
"LIC",2.12,"Schizophrenia chronic treatment","DALYS.avert",104830.107482187,74911.4053711746,134722.603856213
"LIC",5.3,"Tobacco regulations","BCR",73.8693699018696,45.5527172166186,103.316679376685
"LIC",5.3,"Tobacco regulations","DALYS.avert",120121.803182334,85798.1882504857,154447.898939836
"LIC",5.1,"Tobacco tax","BCR",93.3424415235421,55.5577039024109,133.652439325448
"LIC",5.1,"Tobacco tax","DALYS.avert",510258.744572148,364355.719914354,656254.016017857
"LIC",5.6,"Trans fat regulations","BCR",9.72639276701517,6.90399847984345,12.5651899421005
"LIC",5.6,"Trans fat regulations","DALYS.avert",112843.348516625,80599.259002653,145089.945307483
"LIC",4.3,"Treatment of early-stage breast cancer","BCR",33.5379921689384,23.9556715401254,43.1203425203998
"LIC",4.3,"Treatment of early-stage breast cancer","DALYS.avert",86745.5505029892,61960.4598410852,111531.159316455
"LIC",4.4,"Treatment of early-stage colorectal cancer","BCR",1.62816987948307,1.16295804604009,2.09335846090396
"LIC",4.4,"Treatment of early-stage colorectal cancer","DALYS.avert",37489.1044031846,26777.1454569093,48200.483043008
"LIC/LMC",5.4,"Alcohol regulations","BCR",74.9263514248983,46.1145684670727,104.926234687903
"LIC/LMC",5.4,"Alcohol regulations","DALYS.avert",791138.706839845,565087.402309968,1017199.35201397
"LIC/LMC",5.2,"Alcohol tax","BCR",51.855277818752,33.3351887621473,70.6766984811204
"LIC/LMC",5.2,"Alcohol tax","DALYS.avert",370809.438395622,264861.376296519,476760.352019124
"LIC/LMC",2.9,"Alcohol use screening/brief intervention","BCR",1.74269013243814,1.24477533577782,2.24060759346643
"LIC/LMC",2.9,"Alcohol use screening/brief intervention","DALYS.avert",1344558.53579633,960392.881201084,1728729.04901241
"LIC/LMC",2.5,"Aspirin for suspected ACS","BCR",60.4839845765178,43.2022764427356,77.7667284025921
"LIC/LMC",2.5,"Aspirin for suspected ACS","DALYS.avert",95298.1059884556,68068.8679863933,122529.666558151
"LIC/LMC",3.4,"Asthma/COPD acute treatment","BCR",6.05642994477226,4.3890077247046,7.6734223506718
"LIC/LMC",3.4,"Asthma/COPD acute treatment","DALYS.avert",12959642.0619216,9381984.42972496,16436854.8125534
"LIC/LMC",2.14,"Asthma/COPD chronic treatment","BCR",1.12608492703079,0.804347885395918,1.447820761054
"LIC/LMC",2.14,"Asthma/COPD chronic treatment","DALYS.avert",1098888.94644606,784910.028225259,1412876.38425193
"LIC/LMC",2.11,"Bipolar disorder chronic treatment","BCR",0.812872816363105,0.581343859653592,1.04382543749367
"LIC/LMC",2.11,"Bipolar disorder chronic treatment","DALYS.avert",1196542.00211662,855662.346644775,1536630.06704977
"LIC/LMC",3.3,"Cervical cancer screening and treatment","BCR",3.99847830125889,2.85582575099503,5.14131515230781
"LIC/LMC",3.3,"Cervical cancer screening and treatment","DALYS.avert",3563811.00046302,2545297.85223339,4582549.47613359
"LIC/LMC",2.4,"CVD primary prevention","BCR",15.2830881357742,10.9128342121974,19.6562813627863
"LIC/LMC",2.4,"CVD primary prevention","DALYS.avert",30988745.2254463,22114602.3722081,39879179.055034
"LIC/LMC",2.6,"CVD secondary prevention","BCR",5.3188902623815,3.80360696038313,6.83064686813723
"LIC/LMC",2.6,"CVD secondary prevention","DALYS.avert",21182249.4454346,15120587.1394458,27251626.1255636
"LIC/LMC",2.1,"Depression chronic treatment","BCR",22.2533332720698,15.9014628786314,28.6002110612564
"LIC/LMC",2.1,"Depression chronic treatment","DALYS.avert",1848997.26703416,1321206.57992024,2376391.07777226
"LIC/LMC",2.3,"Diabetes screening and treatment","BCR",0.534080425481932,0.381499404110116,0.686650735539909
"LIC/LMC",2.3,"Diabetes screening and treatment","DALYS.avert",6256657.34633788,4468636.21142919,8045002.48935575
"LIC/LMC",2.13,"Epilepsy acute and chronic treatment","BCR",30.9440768398616,22.4972189776456,39.0754879555328
"LIC/LMC",2.13,"Epilepsy acute and chronic treatment","DALYS.avert",4084403.33305524,2966417.78173824,5163198.57057127
"LIC/LMC",3.2,"Heart failure acute treatment","BCR",11.3465323830026,8.36660957506995,14.1377263941428
"LIC/LMC",3.2,"Heart failure acute treatment","DALYS.avert",27020595.413554,19847635.8699089,33792783.5386516
"LIC/LMC",2.7,"Heart failure chronic treatment","BCR",39.0847343565372,28.2752722588327,49.6197884030888
"LIC/LMC",2.7,"Heart failure chronic treatment","DALYS.avert",12480114.206797,9013954.52479371,15869343.0220792
"LIC/LMC",1.1,"IDU harm reduction measures","BCR",28.4429221614889,20.3162435132872,36.5697040070196
"LIC/LMC",1.1,"IDU harm reduction measures","DALYS.avert",1976592.73392344,1411842.33427734,2541350.82924593
"LIC/LMC",4.2,"Management of acute ventilatory failure","BCR",1.53674980518643,1.09778486647282,1.9755793375955
"LIC/LMC",4.2,"Management of acute ventilatory failure","DALYS.avert",131849.383769159,94185.7219124667,169501.854165997
"LIC/LMC",3.7,"Management of appendicitis","BCR",8.0805366153696,5.81974596598091,10.3029529292002
"LIC/LMC",3.7,"Management of appendicitis","DALYS.avert",561271.392437406,404091.219645052,715902.576281811
"LIC/LMC",3.6,"Management of bowel obstruction","BCR",2.95437526999357,2.11026250108579,3.79849247584333
"LIC/LMC",3.6,"Management of bowel obstruction","DALYS.avert",2574698.62853122,1839035.04081591,3310390.54850515
