"WB_Region","Intervention","Metric","Base","Pessimistic","Optimistic"
"LIC","Alcohol regulations","BCR",76.4694708429949,46.9305733488686,107.284316562789
"LIC","Alcohol regulations","DALYS.avert",151134.236614318,107950.675251318,194319.679061243
"LIC","Alcohol tax","BCR",52.6028267918349,33.7670687229344,71.7576707734155
"LIC","Alcohol tax","DALYS.avert",44467.1827439083,31761.9794949687,57172.6211275686
"LIC","Alcohol use screening/brief intervention","BCR",0.521896959012273,0.372782701586618,0.671011888904296
"LIC","Alcohol use screening/brief intervention","DALYS.avert",289657.661611504,206897.465144687,372418.549757191
"LIC","Aspirin for suspected ACS","BCR",33.6724995842963,24.0517553048265,43.2932679543158
"LIC","Aspirin for suspected ACS","DALYS.avert",13588.2195622008,9705.83571184601,17470.6317365828
"LIC","Asthma/COPD acute treatment","BCR",1.63355377777948,1.1874418300231,2.06314292149746
"LIC","Asthma/COPD acute treatment","DALYS.avert",2664944.34472442,1935382.04386826,3368964.90647924
"LIC","Asthma/COPD chronic treatment","BCR",0.391801551951018,0.279857536951467,0.503746138566676
"LIC","Asthma/COPD chronic treatment","DALYS.avert",318629.300378878,227590.562810533,409669.473805592
"LIC","Bipolar disorder chronic treatment","BCR",0.30641466826813,0.219161190196273,0.393433290318221
"LIC","Bipolar disorder chronic treatment","DALYS.avert",237614.103138856,169937.979218114,305119.331166938
"LIC","Cervical cancer screening and treatment","BCR",3.20675082049531,2.29020862314044,4.12355540176834
"LIC","Cervical cancer screening and treatment","DALYS.avert",1435568.92968978,1025208.37392486,1846088.0525692
"LIC","CVD primary prevention","BCR",5.17577397477257,3.69467100691555,6.65873908961635
"LIC","CVD primary prevention","DALYS.avert",5190741.96214231,3703667.37251142,6681049.87932993
"LIC","CVD secondary prevention","BCR",2.02634439447243,1.44875067079682,2.60284440984638
"LIC","CVD secondary prevention","DALYS.avert",3090534.02322461,2205948.7808286,3976387.61008233
"LIC","Depression chronic treatment","BCR",5.4683774169387,3.90778374959476,7.02753117891344
"LIC","Depression chronic treatment","DALYS.avert",420051.334261754,300169.143549842,539827.543359143
"LIC","Diabetes screening and treatment","BCR",0.423807610739963,0.302728654252184,0.544879418348277
"LIC","Diabetes screening and treatment","DALYS.avert",1219270.279521,870841.309031285,1567752.11386068
"LIC","Epilepsy acute and chronic treatment","BCR",13.6121660472286,9.97338069058818,17.0506260608748
"LIC","Epilepsy acute and chronic treatment","DALYS.avert",1870594.25273496,1368619.57732748,2346583.70638431
"LIC","Heart failure acute treatment","BCR",3.79334611408552,2.83348959393193,4.66620081838554
"LIC","Heart failure acute treatment","DALYS.avert",6309604.31051304,4693611.4914297,7792309.44167871
"LIC","Heart failure chronic treatment","BCR",12.7276685404835,9.25009782865923,16.0845548832665
