IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,0,,,,,,0,,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country.,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,0.3,,,,,,0.3,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,0.5,,,,,,0.5,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,0.7,,,,,,0.7,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,0.7,,,,,,0.7,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,1,,,,,,1,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,GHA,Ghana,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,1.1,,,,,,1.1,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,1.4,,,,,,1.4,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,SEN,Senegal,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,1.8,,,,,,1.8,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,DZA,Algeria,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,1.9,,,,,,1.9,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,1.9,,,,,,1.9,,,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2000,FALSE,Sex,Female,FMLE,,,,,,,,,,10.1,,,,,,10.1,,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country.,EN,2022-01-17T08:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AMR,Americas,Country,BRB,Barbados,Year,2000,FALSE,Sex,Both sexes,BTSX,,,,,,,,,,10.2,,,,,,10.2,,,EN,2022-01-17T08:00:00.000Z
