measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Guinea-Bissau,Both,All ages,Schizophrenia,Number,2019,1928.679745948499,2629.5830837118756,1312.6457980928797
YLDs (Years Lived with Disability),Guinea-Bissau,Both,All ages,Alcohol use disorders,Number,2019,819.0109897180188,1191.3427334204005,524.4236785539982
YLDs (Years Lived with Disability),Guinea-Bissau,Both,All ages,Opioid use disorders,Number,2019,825.3104280858444,1178.6593933961292,555.6511911787483
YLDs (Years Lived with Disability),Guinea-Bissau,Both,All ages,Major depressive disorder,Number,2019,8892.972381196905,12793.279895196045,5877.062356764084
YLDs (Years Lived with Disability),Guinea-Bissau,Both,All ages,Bipolar disorder,Number,2019,1831.929944073772,2965.00779612083,1057.8187587789373
YLDs (Years Lived with Disability),Belarus,Both,All ages,Schizophrenia,Number,2019,20399.85397871987,26817.334279563245,14135.84487399389
YLDs (Years Lived with Disability),Belarus,Both,All ages,Alcohol use disorders,Number,2019,30563.944114809656,44158.096401287534,20999.44085885382
YLDs (Years Lived with Disability),Belarus,Both,All ages,Opioid use disorders,Number,2019,14343.609616619791,19458.999782504583,9606.897960464841
YLDs (Years Lived with Disability),Belarus,Both,All ages,Major depressive disorder,Number,2019,66760.33217117077,92448.09551422425,44628.39226891659
YLDs (Years Lived with Disability),Belarus,Both,All ages,Bipolar disorder,Number,2019,12046.527758745502,18554.31793237981,7115.734101308778
YLDs (Years Lived with Disability),Tunisia,Both,All ages,Bipolar disorder,Number,2019,21212.935515633686,32956.66374681511,12296.075411304757
YLDs (Years Lived with Disability),Kazakhstan,Both,All ages,Idiopathic epilepsy,Number,2019,25497.46960941557,53137.41179375415,6576.274803094926
YLDs (Years Lived with Disability),Kazakhstan,Both,All ages,Schizophrenia,Number,2019,35807.116703146625,47977.955606854535,24611.805219839498
YLDs (Years Lived with Disability),Kazakhstan,Both,All ages,Alcohol use disorders,Number,2019,68808.35057104965,98579.54459546081,46315.52051923037
