"location","YLD","cause","YLL","YLDtoYLL"
"Iceland",1.29816739829,"Esophageal cancer",79.7802770128578,0.0162717835396934
"Solomon Islands",0.162337291849,"Chronic myeloid leukemia",14.0355619888849,0.0115661412045744
"Solomon Islands",0.36440333798,"Alcoholic cardiomyopathy",10.9610807024905,0.0332452016247998
"Solomon Islands",1.67383122127,"Myocarditis",41.6326655532283,0.0402047574669455
"Solomon Islands",1.3085477229,"Other leukemia",86.9344651128491,0.0150521168008727
"Solomon Islands",1.85104005376,"Other cardiomyopathy",86.6938281327203,0.0213514628852959
"Canada",206.51002123,"Asthma",10.6609496554906,19.3706965986509
"Canada",11.3704132199,"Other chronic respiratory diseases",8.0226112397851,1.41729580058831
"Cambodia",1.9465616742,"Self-harm",188.165943928444,0.0103449201994822
"Cambodia",0.0411084658769,"Self-harm by firearm",4.72459977950561,0.00870094141205791
"Solomon Islands",4.92174016466,"Diabetes mellitus type 1",539.355345043135,0.00912522738467787
"Solomon Islands",1177.04266687,"Diabetes mellitus type 2",1546.36463428942,0.761167606119541
"Suriname",1.89560307471,"Myocarditis",28.6004235649317,0.0662788461998265
"Suriname",1.23704023136,"Other leukemia",80.3464351501001,0.0153963300182392
"Suriname",4.82362596751,"Other cardiomyopathy",137.491086130301,0.0350831905054458
"Turkey",0.396923545959,"Nasopharynx cancer",14.0451721452902,0.0282604970485962
"Turkey",0.144040056381,"Other pharynx cancer",6.47446640284668,0.0222474019353423
"Turkey",1.20223207362,"Pancreatic cancer",136.626522318198,0.00879940478042795
"Croatia",19.5060733874,"Diabetes mellitus type 1",39.5731621397648,0.492911668734187
"Croatia",590.214985599,"Diabetes mellitus type 2",131.174013333518,4.49948103743951
"Cambodia",4.45111343815,"Diabetes mellitus type 1",283.955321904478,0.0156754006521045
"Cambodia",598.195863903,"Diabetes mellitus type 2",294.160460930127,2.03356991626788
"Greece",24.6955146069,"Diabetes mellitus type 1",17.6129909365643,1.40211930477023
"Greece",404.661825003,"Diabetes mellitus type 2",60.6369808710912,6.67351538928488
"Brunei",2.91606815526,"Kidney cancer",68.9304745813009,0.042304483945205
"Brunei",3.5745090953,"Bladder cancer",45.5181235884965,0.0785293595934469
"Solomon Islands",6.9452018079,"Self-harm",829.496822033838,0.0083727889286798
"Solomon Islands",0.10348042333,"Self-harm by firearm",38.5465621585724,0.00268455648273647
"Canada",2.54842198138,"Kidney cancer",62.8758053122054,0.040531043200576
"Canada",6.07342657099,"Bladder cancer",54.5932094828024,0.111248754717438
"Turkey",0.413089326707,"Rheumatic heart disease",13.9892951262047,0.0295289593207026
"Turkey",76.6587645979,"Ischemic heart disease",1730.11696883169,0.0443084288397366
"Turkey",146.684933905,"Ischemic stroke",264.792006128068,0.553962848236646
"Turkey",34.7867538058,"Intracerebral hemorrhage",380.566399346667,0.0914078433238451
"Turkey",32.3285425602,"Hypertensive heart disease",177.092588532298,0.182551640518281
"Turkey",20.5766971497,"Atrial fibrillation and flutter",21.3459260195874,0.96396366832802
"Turkey",6.40316416576,"Peripheral artery disease",13.8031008958657,0.463893165316056
"Turkey",88.8188268758,"Other cardiovascular and circulatory diseases",102.934028986588,0.86287137256983
"Turkey",454.696595101,"Chronic obstructive pulmonary disease",501.179382931106,0.907253192343518
"Croatia",1.04251368746,"Acute lymphoid leukemia",23.0093375903736,0.0453082877056033
"Croatia",2.86508246812,"Chronic lymphoid leukemia",23.501896012725,0.121908567145762
"Croatia",0.484811287673,"Acute myeloid leukemia",50.0415380038865,0.0096881772026141
"Croatia",0.20184637783,"Chronic myeloid leukemia",7.31585474573559,0.0275902659149509
"Croatia",6.05420812446,"Alcoholic cardiomyopathy",52.1999713003019,0.115981062319569
"Croatia",4.80660232414,"Myocarditis",35.4651933762836,0.135530131561451
"Croatia",0.851378899252,"Other leukemia",18.2252674695276,0.0467142060151102
"Croatia",4.28577896264,"Other cardiomyopathy",43.9333979354434,0.0975517297555178
"Czech Republic",124.79635146,"Ischemic heart disease",1963.61696875177,0.063554325230409
"Czech Republic",223.794098164,"Ischemic stroke",368.600205047849,0.607145886245366
"Czech Republic",25.6346817951,"Intracerebral hemorrhage",199.756963890838,0.128329352307881
"Czech Republic",16.4551878502,"Hypertensive heart disease",84.5616494723411,0.194593979101392
"Czech Republic",48.5347864239,"Atrial fibrillation and flutter",42.5417570483054,1.14087404450149
"Czech Republic",5.11795259985,"Peripheral artery disease",16.8096612534527,0.304464945645396
"Czech Republic",163.339947966,"Other cardiovascular and circulatory diseases",151.894769471,1.07534939178524
"Trinidad and Tobago",96.4085116789,"Ischemic heart disease",2279.16200749683,0.0422999819064131
"Trinidad and Tobago",108.542923344,"Ischemic stroke",401.26325763515,0.270503020843969
"Trinidad and Tobago",17.8180904979,"Intracerebral hemorrhage",584.885477420835,0.0304642381897945
"Trinidad and Tobago",32.5304877893,"Hypertensive heart disease",293.533237552814,0.110823864651603
"Trinidad and Tobago",43.9916787827,"Atrial fibrillation and flutter",47.8788200576845,0.918812926669846
"Trinidad and Tobago",6.9520403061,"Peripheral artery disease",9.31745482238448,0.746130830642532
"Trinidad and Tobago",53.3150155867,"Other cardiovascular and circulatory diseases",161.846677777851,0.329416805576199
"Trinidad and Tobago",145.142674848,"Chronic obstructive pulmonary disease",166.391437746602,0.872296536490286
"Trinidad and Tobago",310.322051588,"Asthma",92.7408310299355,3.34612110050892
"Trinidad and Tobago",11.7915984221,"Other chronic respiratory diseases",17.8245398592913,0.661537325237233
"Trinidad and Tobago",0.197847801646,"Liver cancer due to hepatitis C",19.0907329538046,0.0103635518932012
"Trinidad and Tobago",0.172493024915,"Liver cancer due to alcohol use",18.1079990517977,0.00952579158092433
"Trinidad and Tobago",0.0748745854854,"Liver cancer due to other causes",8.51194523433541,0.0087964129730736
"Trinidad and Tobago",0.70007073118,"Larynx cancer",26.0532053217712,0.026870810041749
"Trinidad and Tobago",2.26113554145,"Tracheal, bronchus, and lung cancer",232.115153771832,0.00974143869845173
"Trinidad and Tobago",17.1153904824,"Breast cancer",295.564702264815,0.0579074238271702
"Trinidad and Tobago",5.18146466727,"Cervical cancer",148.002112053289,0.0350093967943131
"Trinidad and Tobago",23.0404974536,"Prostate cancer",300.33317750281,0.0767164575195308
"Trinidad and Tobago",8.77134009997,"Colon and rectum cancer",258.349472148697,0.0339514535370195
"Trinidad and Tobago",0.982306066315,"Lip and oral cavity cancer",30.6590706887693,0.0320396556140506
"Trinidad and Tobago",0.245408667687,"Nasopharynx cancer",9.64654569553092,0.0254400565168829
"Trinidad and Tobago",0.277327951873,"Other pharynx cancer",16.0089088342368,0.0173233513129829
"Trinidad and Tobago",0.9628951416,"Pancreatic cancer",104.360520711401,0.00922662262545423
"Trinidad and Tobago",2.11129149529,"Kidney cancer",48.5863311235909,0.0434544335096928
"Trinidad and Tobago",1.82048621293,"Bladder cancer",30.8678690205036,0.05897673764654
"Botswana",1.01500124244,"Pancreatic cancer",107.665540122973,0.00942735476254227
"Tonga",1.520985542,"Kidney cancer",34.0263155120753,0.0447002715136827
"Tonga",1.80607784343,"Bladder cancer",34.6945046724864,0.0520565968725954
"Tonga",0.617145139167,"Esophageal cancer",53.189463173945,0.011602770592904
"Tonga",3.31211872016,"Stomach cancer",301.091408038527,0.0110003760709644
"Gabon",6.13203653534,"Self-harm",426.557893030212,0.0143756255259487
"Gabon",0.0971989979518,"Self-harm by firearm",23.1710420539347,0.00419484793672863
"Gabon",6.03483753739,"Self-harm by other specified means",403.386850976278,0.0149604220434664
"Liberia",5.1500107411,"Self-harm",418.811780595462,0.0122967189074237
"Liberia",0.170859270378,"Self-harm by firearm",48.671926025387,0.00351042755712771
"Liberia",4.97915147073,"Self-harm by other specified means",370.139854570075,0.0134520814477365
"Iceland",301.707041055,"Chronic obstructive pulmonary disease",218.291501235446,1.38212912251487
"Iceland",319.943416599,"Asthma",9.05121000253544,35.3481375981087
"Iceland",22.4380139401,"Other chronic respiratory diseases",1.99919114383159,11.2235460872921
"Canada",0.52600030841,"Rheumatic heart disease",22.1546941894469,0.0237421606415382
