location_name,Country-group
China,China
India,India
Argentina,Latin America and the Caribbean
Bolivia,Latin America and the Caribbean
Brazil,Latin America and the Caribbean
Colombia,Latin America and the Caribbean
Costa Rica,Latin America and the Caribbean
Cuba,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
El Salvador,Latin America and the Caribbean
Guatemala,Latin America and the Caribbean
Guyana,Latin America and the Caribbean
Haiti,Latin America and the Caribbean
Honduras,Latin America and the Caribbean
Jamaica,Latin America and the Caribbean
Mexico,Latin America and the Caribbean
Nicaragua,Latin America and the Caribbean
Panama,Latin America and the Caribbean
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
Suriname,Latin America and the Caribbean
Venezuela,Latin America and the Caribbean
Afghanistan,Eurasia and the Mediterranean
Albania,Eurasia and the Mediterranean
Algeria,Eurasia and the Mediterranean
Armenia,Eurasia and the Mediterranean
Azerbaijan,Eurasia and the Mediterranean
Bangladesh,Eurasia and the Mediterranean
Belarus,Eurasia and the Mediterranean
Bhutan,Eurasia and the Mediterranean
Bosnia and Herzegovina,Eurasia and the Mediterranean
Bulgaria,Eurasia and the Mediterranean
Cambodia,Eurasia and the Mediterranean
Croatia,Eurasia and the Mediterranean
Djibouti,Eurasia and the Mediterranean
Egypt,Eurasia and the Mediterranean
Fiji,Eurasia and the Mediterranean
Georgia,Eurasia and the Mediterranean
Indonesia,Eurasia and the Mediterranean
Iran,Eurasia and the Mediterranean
Iraq,Eurasia and the Mediterranean
Jordan,Eurasia and the Mediterranean
Kazakhstan,Eurasia and the Mediterranean
North Korea,Eurasia and the Mediterranean
Kosovo,Eurasia and the Mediterranean
Kyrgyz Republic,Eurasia and the Mediterranean
Lao PDR,Eurasia and the Mediterranean
Lebanon,Eurasia and the Mediterranean
Libya,Eurasia and the Mediterranean
Macedonia,Eurasia and the Mediterranean
Malaysia,Eurasia and the Mediterranean
Moldova,Eurasia and the Mediterranean
Mongolia,Eurasia and the Mediterranean
Montenegro,Eurasia and the Mediterranean
Morocco,Eurasia and the Mediterranean
Myanmar,Eurasia and the Mediterranean
Nepal,Eurasia and the Mediterranean
Pakistan,Eurasia and the Mediterranean
Papua New Guinea,Eurasia and the Mediterranean
Philippines,Eurasia and the Mediterranean
Romania,Eurasia and the Mediterranean
Russian Federation,Eurasia and the Mediterranean
Serbia,Eurasia and the Mediterranean
Solomon Islands,Eurasia and the Mediterranean
Sri Lanka,Eurasia and the Mediterranean
Syria,Eurasia and the Mediterranean
Tajikistan,Eurasia and the Mediterranean
Thailand,Eurasia and the Mediterranean
Timor-Leste,Eurasia and the Mediterranean
Tunisia,Eurasia and the Mediterranean
Turkey,Eurasia and the Mediterranean
Turkmenistan,Eurasia and the Mediterranean
Ukraine,Eurasia and the Mediterranean
Uzbekistan,Eurasia and the Mediterranean
Vietnam,Eurasia and the Mediterranean
Yemen,Eurasia and the Mediterranean
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
The Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Australia,High-income
Austria,High-income
Bahrain,High-income
Belgium,High-income
Canada,High-income
Chile,High-income
Cyprus,High-income
Czech Republic,High-income
Denmark,High-income
Estonia,High-income
Finland,High-income
France,High-income
Germany,High-income
Greece,High-income
Hong Kong,High-income
Hungary,High-income
Ireland,High-income
Israel,High-income
Italy,High-income
Japan,High-income
South Korea,High-income
Kuwait,High-income
Latvia,High-income
Lithuania,High-income
Luxembourg,High-income
Macao,High-income
Netherlands,High-income
New Zealand,High-income
Norway,High-income
Oman,High-income
Poland,High-income
Portugal,High-income
Puerto Rico,High-income
Qatar,High-income
Saudi Arabia,High-income
Singapore,High-income
Slovakia,High-income
Slovenia,High-income
Spain,High-income
Sweden,High-income
Switzerland,High-income
Taiwan Province of Chinab,High-income
Trinidad and Tobago,High-income
United Arab Emirates,High-income
United Kingdom,High-income
United States of America,High-income
Uruguay,High-income
