"iso3","Baseline Coverage","Intervention","Code","sub_id","metric","cause_name","Mortality reduction","agel","ageu","ncd_cause","ghe_cause","max.cov","location_name"
"SAU",0.103,"IDU harm reduction measures",1.1,1,"case fatality","Opioid use disorders",0.2,15,85,"Mental health and substance use","Opioid use disorders",0.95,"Saudi Arabia"
"SAU",0.411710941,"Pulmonary rehabilitation",1.2,1,"case fatality","Chronic obstructive pulmonary disease",0.053,30,85,"Chronic respiratory diseases","Chronic obstructive pulmonary disease",0.95,"Saudi Arabia"
"SAU",0.411710941,"Depression chronic treatment",2.1,1,"case fatality","Major depressive disorder",0.0858843,10,85,"Mental health and substance use","Self-harm",0.95,"Saudi Arabia"
"SAU",0.411710941,"Depression chronic treatment",2.1,2,"disability","Major depressive disorder",0.0067425,10,85,"Mental health and substance use","Self-harm",0.95,"Saudi Arabia"
"SAU",0.224,"Bipolar disorder chronic treatment",2.11,1,"case fatality","Bipolar disorder",0.01559331,10,85,"Mental health and substance use","Self-harm",0.95,"Saudi Arabia"
"SAU",0.224,"Bipolar disorder chronic treatment",2.11,2,"disability","Bipolar disorder",0.3,10,85,"Mental health and substance use","Self-harm",0.95,"Saudi Arabia"
"SAU",0.7,"Schizophrenia chronic treatment",2.12,1,"case fatality","Schizophrenia",0.00817236,10,85,"Mental health and substance use","Self-harm",0.95,"Saudi Arabia"
"SAU",0.7,"Schizophrenia chronic treatment",2.12,2,"disability","Schizophrenia",0.283141,10,85,"Mental health and substance use","Self-harm",0.95,"Saudi Arabia"
"SAU",0.9,"Epilepsy acute and chronic treatment",2.13,1,"case fatality","Idiopathic epilepsy",0.5,0,85,"Mental health and substance use","Epilepsy",0.95,"Saudi Arabia"
"SAU",0.9,"Epilepsy acute and chronic treatment",2.13,2,"disability","Idiopathic epilepsy",0.8,0,85,"Mental health and substance use","Epilepsy",0.95,"Saudi Arabia"
"SAU",0.411710941,"Asthma/COPD chronic treatment",2.14,1,"case fatality","Asthma",0.221,0,85,"Chronic respiratory diseases","Asthma",0.95,"Saudi Arabia"
"SAU",0.411710941,"Diabetes screening and treatment",2.3,1,"case fatality","Chronic kidney disease due to diabetes mellitus type 1",0.16,0,85,"Diabetes","Chronic kidney disease due to diabetes",0.95,"Saudi Arabia"
"SAU",0.411710941,"Diabetes screening and treatment",2.3,2,"case fatality","Chronic kidney disease due to diabetes mellitus type 2",0.16,0,85,"Diabetes","Chronic kidney disease due to diabetes",0.95,"Saudi Arabia"
"SAU",0.411710941,"Diabetes screening and treatment",2.3,3,"case fatality","Diabetes mellitus type 1",0.28,0,85,"Diabetes","Diabetes mellitus",0.95,"Saudi Arabia"
"SAU",0.411710941,"Diabetes screening and treatment",2.3,4,"case fatality","Diabetes mellitus type 2",0.28,0,85,"Diabetes","Diabetes mellitus",0.95,"Saudi Arabia"
"SAU",0.411710941,"Diabetes screening and treatment",2.3,5,"case fatality","Ischemic heart disease",0.0375,0,85,"Ischaemic heart disease","Ischaemic heart disease",0.95,"Saudi Arabia"
