"Code","year_id","Intervention","location_name","Adjusted.cost","Baseline.cost","Incremental.cost"
1.1,2020,"IDU harm reduction measures","Afghanistan",24766.6021086441,24766.6021086441,0
1.1,2020,"IDU harm reduction measures","Albania",5369.27039225178,5369.27039225178,0
1.1,2020,"IDU harm reduction measures","Algeria",218741.502046081,218741.502046081,0
1.1,2020,"IDU harm reduction measures","Angola",43823.2097170036,43823.2097170036,0
1.1,2020,"IDU harm reduction measures","Argentina",168493.858273866,168493.858273866,0
1.1,2020,"IDU harm reduction measures","Armenia",2804.10240175643,2804.10240175643,0
1.1,2020,"IDU harm reduction measures","Azerbaijan",26266.4621887597,26266.4621887597,0
1.1,2020,"IDU harm reduction measures","Bangladesh",96477.6776076678,96477.6776076678,0
1.1,2020,"IDU harm reduction measures","Belarus",97913.2177472464,97913.2177472464,0
1.1,2020,"IDU harm reduction measures","Belize",784.891394426859,784.891394426859,0
1.1,2020,"IDU harm reduction measures","Benin",3878.91032726265,3878.91032726265,0
1.1,2020,"IDU harm reduction measures","Bhutan",455.232689719424,455.232689719424,0
1.1,2020,"IDU harm reduction measures","Bolivia",7560.33988104978,7560.33988104978,0
1.1,2020,"IDU harm reduction measures","Bosnia and Herzegovina",9198.81890609325,9198.81890609325,0
1.1,2020,"IDU harm reduction measures","Botswana",24473.9716065699,24473.9716065699,0
1.1,2020,"IDU harm reduction measures","Brazil",1385247.40942151,1385247.40942151,0
1.1,2020,"IDU harm reduction measures","Bulgaria",29520.8760368791,29520.8760368791,0
1.1,2020,"IDU harm reduction measures","Burkina Faso",3879.10944793849,3879.10944793849,0
1.1,2020,"IDU harm reduction measures","Burundi",1150.68092939377,1150.68092939377,0
1.1,2020,"IDU harm reduction measures","Cambodia",3928.73515240071,3928.73515240071,0
1.1,2020,"IDU harm reduction measures","Cameroon",18525.7785492193,18525.7785492193,0
1.1,2020,"IDU harm reduction measures","Cape Verde",815.798778907362,815.798778907362,0
1.1,2020,"IDU harm reduction measures","Central African Republic",838.053119455897,838.053119455897,0
1.1,2020,"IDU harm reduction measures","Chad",3303.87729831717,3303.87729831717,0
1.1,2020,"IDU harm reduction measures","China",18235948.4692837,18235948.4692837,0
1.1,2020,"IDU harm reduction measures","Colombia",205870.452253739,205870.452253739,0
1.1,2020,"IDU harm reduction measures","Comoros",136.517452468181,136.517452468181,0
1.1,2020,"IDU harm reduction measures","Congo",2186.78590327969,2186.78590327969,0
1.1,2020,"IDU harm reduction measures","Costa Rica",37262.6474991326,37262.6474991326,0
