"HSP","Code","Intervention","Incremental.cost","Deaths.avert","DALYS.avert","ICER"
"HS1",1.1,"IDU harm reduction measures",12974006.1593263,4136.24310273633,441084.598085823,29.4138725669171
"HS1",1.2,"Pulmonary rehabilitation",3388037.92837968,4076.0219802483,36248.1007449852,93.4680123578171
"HS1",2.1,"Depression chronic treatment",58957832.9555166,2218.66286794623,191911.849196316,307.213093940885
"HS1",2.11,"Bipolar disorder chronic treatment",329804131.51789,43.9032594511964,67479.0663126707,4887.50288852118
"HS1",2.12,"Schizophrenia chronic treatment",115670213.896921,21.1521947158412,60889.1242386527,1899.68595119805
"HS1",2.13,"Epilepsy acute and chronic treatment",83140347.9749497,9679.35794712016,619291.514556999,134.250746248999
"HS1",2.14,"Asthma/COPD chronic treatment",635923970.428159,10989.4064369173,160769.676726521,3955.49697789034
"HS1",2.3,"Diabetes screening and treatment",1692929382.08089,57901.2168202025,637707.474924624,2654.71152314937
"HS1",2.4,"CVD primary prevention",707012020.312637,454239.329042894,2593744.95434838,272.583477850179
"HS1",2.5,"Aspirin for suspected ACS",276005.640365872,1168.22738685947,6292.67070493467,43.8614466429064
"HS1",2.6,"CVD secondary prevention",911030917.934803,245699.574498381,1365680.89893722,667.089155778465
"HS1",2.7,"Heart failure chronic treatment",150272303.411094,208385.012459275,1401758.12551539,107.202733963709
"HS1",2.9,"Alcohol use screening/brief intervention",193571086.388577,3527.5703890017,83802.3360116868,2309.85310912552
"HS1",3.1,"Medical management of ACS",236094730.667893,94776.8381503288,540312.237150016,436.959806635551
"HS1",3.2,"Heart failure acute treatment",867654535.757191,407965.075583735,2680486.36182907,323.692949202373
"HS1",3.3,"Cervical cancer screening and treatment",229351868.78781,178016.679164167,1764870.02146772,129.953971679497
"HS1",3.4,"Asthma/COPD acute treatment",978946231.073249,92660.3538391703,1066748.60002486,917.691601423645
"HS1",3.6,"Management of bowel obstruction",179806525.585084,28183.6732740478,301385.653249493,596.59948523242
"HS1",3.7,"Management of appendicitis",17046973.7314041,2305.46096066455,37856.5406741733,450.304582188989
"HS1",3.8,"Repair of hernias",735939962.544383,19173.2059549625,378403.012730345,1944.85756663049
"HS1",3.9,"Repair of gastrointestinal perforations",3179565.01285024,947.52918883365,9491.20636306358,335.001146453204
"HS1",4.2,"Management of acute ventilatory failure",48274465.1133913,952.236811809686,9866.28647438079,4892.8708120064
"HS1",4.3,"Treatment of early-stage breast cancer",2111509.45072351,7974.18217809783,78693.7266667753,26.8319920806977
"HS1",4.4,"Treatment of early-stage colorectal cancer",18641967.2978884,3349.76119453242,27086.0058899115,688.250876620823
"HS1",5.1,"Tobacco tax",1224903.74986099,93550.2973024338,785319.036469923,1.55975303408795
"HS1",5.2,"Alcohol tax",714666.007731063,9030.09147449175,83955.1239153447,8.51247636120088
"HS1",5.3,"Tobacco policy",638130.756302307,20771.5299529234,170456.605966445,3.74365518241003
"HS1",5.4,"Alcohol policy",1037744.8023178,31819.0615358633,306968.150845481,3.38062694601881
"HS1",5.5,"Salt policy",0,0,0,NA
"HS1",5.6,"Trans fat policy",20149104.6027102,10836.4051753082,87899.9344234146,229.227754660793
"HS2",1.1,"IDU harm reduction measures",439833103.008855,47092.3099614961,3251303.65998716,135.278998520425
"HS2",1.2,"Pulmonary rehabilitation",401732866.931354,332121.243440382,2198562.86313426,182.725212759505
"HS2",2.1,"Depression chronic treatment",893014212.774428,47177.0572076056,4544180.832317,196.518194527724
"HS2",2.11,"Bipolar disorder chronic treatment",8298144773.02484,946.298379361594,1616834.40806877,5132.34053630549
"HS2",2.12,"Schizophrenia chronic treatment",5408230585.976,413.857497181106,1443815.05051959,3745.79180624951
"HS2",2.13,"Epilepsy acute and chronic treatment",1540030449.55815,125353.143411459,8063260.83787983,190.993505049886
"HS2",2.14,"Asthma/COPD chronic treatment",9859829659.05618,241381.097365181,2216464.96960497,4448.44822465815
"HS2",2.3,"Diabetes screening and treatment",148365758511.991,2031472.20190734,18524496.8878577,8009.16534522675
"HS2",2.4,"CVD primary prevention",22135676417.2628,15280430.4945755,87963011.0745028,251.647552157057
"HS2",2.5,"Aspirin for suspected ACS",17217738.6402699,53186.1006174074,303421.233520433,56.7453320273659
"HS2",2.6,"CVD secondary prevention",53281874936.8848,11293334.6665457,65090532.1352346,818.581031511378
"HS2",2.7,"Heart failure chronic treatment",2695161368.41175,6118024.55898106,36667093.3330248,73.5035456433169
"HS2",2.9,"Alcohol use screening/brief intervention",5900895742.45588,104601.708307985,2456135.3673327,2402.51242701827
"HS2",3.1,"Medical management of ACS",18034577004.466,4530702.70466134,26879502.9312948,670.941611180951
"HS2",3.2,"Heart failure acute treatment",23389966178.336,13115185.6451214,78274178.5623963,298.820972738676
"HS2",3.3,"Cervical cancer screening and treatment",6886709267.02981,624483.530081778,5997049.63922566,1148.34955208392
"HS2",3.4,"Asthma/COPD acute treatment",22626827813.5446,5036147.6841999,36561025.2171619,618.878373326453
"HS2",3.6,"Management of bowel obstruction",5346426242.76496,379349.088012354,3574214.4984457,1495.83250951781
"HS2",3.7,"Management of appendicitis",310468213.590439,46591.9802917229,605903.392460823,512.405471653657
"HS2",3.8,"Repair of hernias",28753025161.4907,244619.929500788,5152446.57279349,5580.46061327751
"HS2",3.9,"Repair of gastrointestinal perforations",190829730.251203,14579.8958218844,114763.41142219,1662.80984406417
"HS2",4.1,"PCI for ACS",13419210313.9815,366778.989329788,2671951.77340831,5022.25019460741
"HS2",4.2,"Management of acute ventilatory failure",1012989222.19314,59387.3257731581,409386.755924022,2474.4064323887
"HS2",4.3,"Treatment of early-stage breast cancer",93365753.4069228,108498.617986529,943585.677255872,98.9478281171544
"HS2",4.4,"Treatment of early-stage colorectal cancer",690760598.138389,104321.756783075,716952.108958738,963.468256117709
"HS2",5.1,"Tobacco tax",142691734.180897,8800359.80077343,59115390.3920024,2.41378316601968
"HS2",5.2,"Alcohol tax",95349825.8888453,248764.2526036,2181149.19235959,43.7154075580197
"HS2",5.3,"Tobacco policy",60761322.3224267,1603674.40356543,10950915.5009329,5.54851531063779
"HS2",5.4,"Alcohol policy",90134467.8923495,598680.885103886,5166921.42158672,17.4445207383607
"HS2",5.5,"Salt policy",554965785.357394,795665.756848311,6551933.60363302,84.7025960473207
"HS2",5.6,"Trans fat policy",499192369.156595,726262.459671155,6005695.01277508,83.1198334405481
"HS3",1.1,"IDU harm reduction measures",2195669871.70427,107880.586519719,6901774.30423446,318.131218860223
"HS3",1.2,"Pulmonary rehabilitation",2709902925.48305,205071.194633817,1379115.23115277,1964.9575787934
"HS3",2.1,"Depression chronic treatment",1671807726.64334,-3982.6142270595,3170308.59880334,527.33280516426
"HS3",2.11,"Bipolar disorder chronic treatment",38179790382.4284,-142.665027095514,1345270.47445969,28380.7539876045
"HS3",2.12,"Schizophrenia chronic treatment",23078885659.544,-126.281209373863,997961.803362088,23126.0210378717
"HS3",2.13,"Epilepsy acute and chronic treatment",3230387697.0795,8497.51685561256,5914995.25718684,546.13529793697
"HS3",2.14,"Asthma/COPD chronic treatment",24315994136.9078,65882.2711598612,1437897.65305893,16910.796178837
"HS3",2.3,"Diabetes screening and treatment",691480792247.259,2257025.61590675,24122091.5494548,28665.8721458542
"HS3",2.4,"CVD primary prevention",84884666290.2712,25516301.8282405,116688555.686424,727.446370305421
"HS3",2.5,"Aspirin for suspected ACS",113583330.883793,67797.9281100899,293792.628837152,386.610553618592
"HS3",2.6,"CVD secondary prevention",216645073154.984,16525178.0541703,73505099.3346237,2947.34753256684
"HS3",2.7,"Heart failure chronic treatment",30364588203.2036,8648480.16549434,42000908.7498527,722.950743376717
"HS3",2.9,"Alcohol use screening/brief intervention",18902098609.1348,502728.786097592,3247127.28594738,5821.17574846466
"HS3",3.1,"Medical management of ACS",30614279556.3819,3942887.93600057,21183264.4536313,1445.21065784712
"HS3",3.2,"Heart failure acute treatment",173322122055.54,14416700.1362344,80334052.300617,2157.51747972272
"HS3",3.3,"Cervical cancer screening and treatment",27562465951.6466,188324.652971253,8049776.64531974,3424.00381601543
"HS3",3.4,"Asthma/COPD acute treatment",58996967728.7412,1948975.3848293,21190212.7954233,2784.16117376053
"HS3",3.6,"Management of bowel obstruction",40583175358.3947,302716.521291695,2541436.39932675,15968.5976675023
"HS3",3.7,"Management of appendicitis",1075062448.90641,38245.3700007599,471472.083774855,2280.22503538044
"HS3",3.8,"Repair of hernias",112159999071.413,763626.145365638,19267088.1365428,5821.32589400913
