"location_name","Code","Intervention","Incremental.cost","Deaths.avert","DALYS.avert","ICER"
"Afghanistan",1.1,"IDU harm reduction measures",13474552.9389716,518.154875814565,26096.0158964637,516.345215010293
"Afghanistan",1.2,"Pulmonary rehabilitation",851792.992755028,765.896252062565,9274.4826140542,91.8426426789839
"Afghanistan",2.1,"Depression chronic treatment",17557532.6275699,326.237126932356,39397.229572714,445.653991866727
"Afghanistan",2.11,"Bipolar disorder chronic treatment",112394240.242336,7.65788193803019,15270.7380121549,7360.1053303956
"Afghanistan",2.12,"Schizophrenia chronic treatment",33870648.6855449,3.69371430012689,13784.7893874572,2457.10309628407
"Afghanistan",2.13,"Epilepsy acute and chronic treatment",13223666.5759364,3037.01238969143,172881.605016604,76.48972587145
"Afghanistan",2.14,"Asthma/COPD chronic treatment",150568421.017264,1981.05558362411,30302.2946768118,4968.87851640106
"Afghanistan",2.3,"Diabetes screening and treatment",970379654.572358,18860.0618162842,218631.811746895,4438.41930787155
"Afghanistan",2.4,"CVD primary prevention",197551095.091625,177142.601788534,1329766.09257984,148.560785384716
"Afghanistan",2.5,"Aspirin for suspected ACS",60881.3386292546,518.526721450937,3839.50351872578,15.8565653950643
"Afghanistan",2.6,"CVD secondary prevention",589468636.014989,128648.141362886,980306.7081394,601.310417566954
"Afghanistan",2.7,"Heart failure chronic treatment",38723969.6896962,71845.088668558,566902.005982517,68.3080484476014
"Afghanistan",2.9,"Alcohol use screening/brief intervention",32890956.292999,578.869937470059,15153.6691872304,2170.49454403527
"Afghanistan",3.1,"Medical management of ACS",259289490.004424,54924.193028847,373303.390222786,694.581128367684
"Afghanistan",3.2,"Heart failure acute treatment",317221510.918001,178280.834144552,1230356.16798884,257.829008519164
"Afghanistan",3.3,"Cervical cancer screening and treatment",66531895.1087826,2396.83151138423,29076.9116989214,2288.13485413069
"Afghanistan",3.4,"Asthma/COPD acute treatment",256196034.637935,21342.8744961961,252522.970252849,1014.54546642394
"Afghanistan",3.6,"Management of bowel obstruction",13957271.5347723,2714.16333226943,43559.8982711623,320.415613642799
"Afghanistan",3.7,"Management of appendicitis",7872727.97998241,837.296240990327,16740.4390724542,470.282048511901
"Afghanistan",3.8,"Repair of hernias",109138137.928439,1712.91317173697,68962.3670302844,1582.57528893276
"Afghanistan",3.9,"Repair of gastrointestinal perforations",1234551.50527549,213.0706317121,2483.37943152369,497.125606181745
"Afghanistan",4.2,"Management of acute ventilatory failure",15591805.1570729,226.827081203737,2596.44730128245,6005.0535781611
"Afghanistan",4.3,"Treatment of early-stage breast cancer",540252.627931716,1104.59677027249,11616.6494179184,46.5067515163529
"Afghanistan",4.4,"Treatment of early-stage colorectal cancer",6374311.13166262,538.261373686859,5124.68506777087,1243.84446016998
"Afghanistan",5.1,"Tobacco tax",473195.192108084,72789.3369893336,666790.422134848,0.709661051508606
"Afghanistan",5.2,"Alcohol tax",0,0,0,NA
"Afghanistan",5.3,"Tobacco policy",112052.125303479,5322.68886471636,49000.2082335376,2.28676834942073
"Afghanistan",5.4,"Alcohol policy",0,0,0,NA
"Afghanistan",5.5,"Salt policy",9159459.20655633,13530.6569865081,129017.380576668,70.9939944960624
"Afghanistan",5.6,"Trans fat policy",3442409.24730893,12925.4656966442,125698.056330019,27.386336334994
"Albania",1.1,"IDU harm reduction measures",343034.500216006,106.820213146744,1542.75939911909,222.351262557128
"Albania",1.2,"Pulmonary rehabilitation",1351059.76394408,151.926187114639,943.512667559737,1431.94660802849
"Albania",2.1,"Depression chronic treatment",930216.639536968,13.6515531852774,1208.21178819677,769.911905035538
"Albania",2.11,"Bipolar disorder chronic treatment",30474384.1131438,0.274393381701998,445.29321814722,68436.6679554246
"Albania",2.12,"Schizophrenia chronic treatment",12630325.9846698,0.0878899078229551,342.696137961105,36855.758164696
"Albania",2.13,"Epilepsy acute and chronic treatment",2890093.89308472,35.7848472964786,3642.50090001258,793.436699789076
"Albania",2.14,"Asthma/COPD chronic treatment",19271407.5630554,113.735493449348,1301.93169108081,14802.1648870511
"Albania",2.3,"Diabetes screening and treatment",346583823.465561,1330.28977800522,13862.5517156311,25001.4449413928
"Albania",2.4,"CVD primary prevention",59565271.6427491,33489.5799228343,98800.669799476,602.883277650259
"Albania",2.5,"Aspirin for suspected ACS",73365.9995430369,91.9367065782828,288.88984586714,253.958387920557
"Albania",2.6,"CVD secondary prevention",173529019.284722,20137.2613441863,62871.4783515139,2760.05947107721
"Albania",2.7,"Heart failure chronic treatment",12339235.6763987,10470.2273484811,33243.957438541,371.17228594732
"Albania",2.9,"Alcohol use screening/brief intervention",14389596.611964,29.1276174521519,1902.14678410855,7564.92439604643
"Albania",3.1,"Medical management of ACS",25190724.8723301,3876.68163973886,17485.5353300013,1440.66077457225
"Albania",3.2,"Heart failure acute treatment",89367906.3991362,11217.0278226008,49988.3126809405,1787.77601415641
"Albania",3.3,"Cervical cancer screening and treatment",15587987.0070824,331.281214919821,3610.11535148223,4317.86397093444
"Albania",3.4,"Asthma/COPD acute treatment",34480182.069678,1268.47722557536,14093.4823046621,2446.53388880844
"Albania",3.6,"Management of bowel obstruction",25235737.5973718,115.65285291159,474.884362689798,53140.8055940899
"Albania",3.7,"Management of appendicitis",609701.285790132,11.1898476358668,158.947998337009,3835.8538148899
"Albania",3.8,"Repair of hernias",74201167.5164312,271.310488570643,4069.80201463884,18232.131993039
"Albania",3.9,"Repair of gastrointestinal perforations",271682.06259602,5.74262608024731,24.9924768049343,10870.5537556959
"Albania",4.1,"PCI for ACS",12869958.5966738,146.208906250719,1414.30346906544,9099.85648637213
"Albania",4.2,"Management of acute ventilatory failure",800798.784842874,12.4313528299964,120.239705666799,6660.01950355733
"Albania",4.3,"Treatment of early-stage breast cancer",331897.061840307,61.6340320752118,753.0045808791,440.763668997646
"Albania",4.4,"Treatment of early-stage colorectal cancer",2930342.35558845,61.7830628611336,570.825349529172,5133.51826089268
"Albania",5.1,"Tobacco tax",184181.409812183,2180.64454066575,10350.6607316674,17.7941693372954
"Albania",5.2,"Alcohol tax",119795.901605754,492.921706174318,2528.53252743318,47.3776391270566
"Albania",5.3,"Tobacco policy",47813.4404260963,959.731012383938,4585.60100794447,10.4268645142175
"Albania",5.4,"Alcohol policy",219989.981508221,2131.68210364619,10878.8215207966,20.2218577708693
"Albania",5.5,"Salt policy",7333710.68170782,6478.87976718573,29235.9681940323,250.845487073857
"Albania",5.6,"Trans fat policy",2664317.24361015,1329.49749180048,6225.91141435023,427.940114513854
"Algeria",1.1,"IDU harm reduction measures",21029658.6138208,1972.26213498233,77499.6476123661,271.351667545714
"Algeria",1.2,"Pulmonary rehabilitation",9964610.74128059,1436.36520705223,15032.2705458127,662.881280037648
"Algeria",2.1,"Depression chronic treatment",28093911.5088471,226.519172139753,26507.6041086188,1059.84348467437
"Algeria",2.11,"Bipolar disorder chronic treatment",571327166.653668,4.86896861690184,9949.60252227914,57422.1096143643
"Algeria",2.12,"Schizophrenia chronic treatment",135994533.467839,1.53446673114377,7208.4044543657,18866.1075177982
"Algeria",2.13,"Epilepsy acute and chronic treatment",25136938.9779944,422.839730695792,65293.6924891131,384.982653296651
"Algeria",2.14,"Asthma/COPD chronic treatment",264104695.459498,1827.63718942155,35997.3219437808,7336.78732745637
"Algeria",2.3,"Diabetes screening and treatment",7373617913.90946,28358.412138675,291612.392480028,25285.6809383177
"Algeria",2.4,"CVD primary prevention",673307692.238156,346450.331081957,1493946.06383261,450.69076356802
"Algeria",2.5,"Aspirin for suspected ACS",693785.048727404,1127.59715280004,4859.8947331404,142.757217352132
"Algeria",2.6,"CVD secondary prevention",2619221471.54385,265161.574851567,1138061.72045288,2301.47576750192
"Algeria",2.7,"Heart failure chronic treatment",214251739.562361,132546.908556618,609895.313592889,351.292647749998
"Algeria",2.9,"Alcohol use screening/brief intervention",54887660.3886056,332.378529654121,11833.0159138323,4638.51826012032
"Algeria",3.1,"Medical management of ACS",505908461.92718,53212.1625449058,298729.768365985,1693.53213338743
"Algeria",3.2,"Heart failure acute treatment",1104703715.21819,180710.370234082,1038306.11036806,1063.94800549386
"Algeria",3.3,"Cervical cancer screening and treatment",207619086.547128,8998.91299938301,90797.7366522594,2286.61081434525
"Algeria",3.4,"Asthma/COPD acute treatment",413224789.41402,16180.0769523261,296039.206444095,1395.84480845464
"Algeria",3.6,"Management of bowel obstruction",252389589.145044,2828.74199879124,18015.1611505352,14009.8435443386
"Algeria",3.7,"Management of appendicitis",16021113.871662,308.800825085491,5476.20416264145,2925.58739518108
"Algeria",3.8,"Repair of hernias",464192881.05804,3169.99804284828,133265.856107976,3483.20938772147
"Algeria",3.9,"Repair of gastrointestinal perforations",3693276.34259831,137.977398408981,702.954258497387,5253.93551280696
"Algeria",4.1,"PCI for ACS",289710749.18717,2946.08239859242,26291.1774344031,11019.314365437
"Algeria",4.2,"Management of acute ventilatory failure",10696657.5285032,140.884115819656,2176.72837472116,4914.0984482611
"Algeria",4.3,"Treatment of early-stage breast cancer",3187297.20886318,1829.55100129639,19559.5220277531,162.95373702592
"Algeria",4.4,"Treatment of early-stage colorectal cancer",19761078.9728543,1974.6415260215,16495.0261015689,1198.00228572992
"Algeria",5.1,"Tobacco tax",3227994.93292982,160878.391584703,1003885.02199219,3.21550263447894
"Algeria",5.2,"Alcohol tax",0,0,0,NA
"Algeria",5.3,"Tobacco policy",1607370.72406046,37853.6924500368,238955.588869934,6.72665046949526
"Algeria",5.4,"Alcohol policy",0,0,0,NA
