"HSP","Code","Intervention","Incremental.cost","Deaths.avert","DALYS.avert","ICER"
"HS1",1.1,"IDU harm reduction measures",7710327.37170503,631.588797060603,126659.089336975,60.8746471498134
"HS1",1.2,"Pulmonary rehabilitation",1342100.09930347,1194.95271217335,13117.7785631699,102.311537951374
"HS1",2.1,"Depression chronic treatment",25978791.2088008,589.050939023028,79630.4162747524,326.242062067904
"HS1",2.11,"Bipolar disorder chronic treatment",188357363.750344,14.6998658569751,41384.9234958987,4551.35222779885
"HS1",2.12,"Schizophrenia chronic treatment",45866394.1944337,5.12537802291536,27107.539362486,1692.01614285611
"HS1",2.13,"Epilepsy acute and chronic treatment",51868345.2816364,3133.50937826383,370569.139558883,139.969413921999
"HS1",2.14,"Asthma/COPD chronic treatment",314676084.739912,3340.54123216267,72793.967078241,4322.8319237182
"HS1",2.3,"Diabetes screening and treatment",683780048.350853,14029.3439068928,217588.984550228,3142.53062839682
"HS1",2.4,"CVD primary prevention",293237420.731906,119371.27828779,926826.33847055,316.38874356528
"HS1",2.5,"Aspirin for suspected ACS",108905.288174212,305.959062515789,2185.12382980505,49.8394126176034
"HS1",2.6,"CVD secondary prevention",352994146.689859,63223.3066535028,469355.239535271,752.083106687748
"HS1",2.7,"Heart failure chronic treatment",56701952.4853446,53930.504118309,499139.873753163,113.599324491926
"HS1",2.9,"Alcohol use screening/brief intervention",112163301.385222,1184.45004269611,41929.8979282726,2675.01966203433
"HS1",3.1,"Medical management of ACS",114194479.118751,30609.7993835669,233168.639543138,489.750591428159
"HS1",3.2,"Heart failure acute treatment",406230367.363017,126021.379637715,1142113.8275508,355.682907923596
"HS1",3.3,"Cervical cancer screening and treatment",124494123.837176,36446.510654951,547773.992847764,227.272790352745
"HS1",3.4,"Asthma/COPD acute treatment",591290178.250484,33466.145761915,531216.410183815,1113.08718427182
"HS1",3.6,"Management of bowel obstruction",103999526.997964,8107.88472333135,144484.562886183,719.796806804124
"HS1",3.7,"Management of appendicitis",11003153.8891805,970.231740229893,25614.258587895,429.571437776476
"HS1",3.8,"Repair of hernias",426634820.127916,5621.07094374915,175855.916445277,2426.04757776619
"HS1",3.9,"Repair of gastrointestinal perforations",1829499.94396986,339.852818409832,4992.49845981788,366.449776338358
"HS1",4.2,"Management of acute ventilatory failure",28084466.2680444,348.840597248397,4797.2837817131,5854.24326472001
"HS1",4.3,"Treatment of early-stage breast cancer",1038704.70892876,1252.51940952839,19053.5891174083,54.51491068314
"HS1",4.4,"Treatment of early-stage colorectal cancer",8689500.28830943,657.041337082251,7126.48384032589,1219.3250532807
"HS1",5.1,"Tobacco tax",298531.871993057,8287.77613072538,77688.600236084,3.84267281281763
