HSP,Code,Intervention,Incremental.cost,Deaths.avert,DALYS.avert,ICER,Priorty,
HS1,1.1,IDU harm reduction measures,12974006.16,4136.243103,441084.5981,29.41387257,High,
HS1,1.2,Pulmonary rehabilitation,3388037.928,4076.02198,36248.10074,93.46801236,High,
HS1,2.1,Depression chronic treatment,58957832.96,2218.662868,191911.8492,307.2130939,Medium,
HS1,2.11,Bipolar disorder chronic treatment,329804131.5,43.90325945,67479.06631,4887.502889,Low,
HS1,2.12,Schizophrenia chronic treatment,115670213.9,21.15219472,60889.12424,1899.685951,Low,
HS1,2.13,Epilepsy acute and chronic treatment,83140347.97,9679.357947,619291.5146,134.2507462,High,
HS1,2.14,Asthma/COPD chronic treatment,635923970.4,10989.40644,160769.6767,3955.496978,Low,
HS1,2.3,Diabetes screening and treatment,1692929382,57901.21682,637707.4749,2654.711523,Low,
HS1,2.4,CVD primary prevention,707012020.3,454239.329,2593744.954,272.5834779,Medium,
HS1,2.5,Aspirin for suspected ACS,276005.6404,1168.227387,6292.670705,43.86144664,High,
HS1,2.6,CVD secondary prevention,911030917.9,245699.5745,1365680.899,667.0891558,Medium,
HS1,2.7,Heart failure chronic treatment,150272303.4,208385.0125,1401758.126,107.202734,High,
HS1,2.9,Alcohol use screening/brief intervention,193571086.4,3527.570389,83802.33601,2309.853109,Low,
HS1,3.1,Medical management of ACS,236094730.7,94776.83815,540312.2372,436.9598066,High,
HS1,3.2,Heart failure acute treatment,867654535.8,407965.0756,2680486.362,323.6929492,High,
HS1,3.3,Cervical cancer screening and treatment,229351868.8,178016.6792,1764870.021,129.9539717,High,
HS1,3.4,Asthma/COPD acute treatment,978946231.1,92660.35384,1066748.6,917.6916014,Low,
HS1,3.6,Management of bowel obstruction,179806525.6,28183.67327,301385.6532,596.5994852,High,
HS1,3.7,Management of appendicitis,17046973.73,2305.460961,37856.54067,450.3045822,Medium,
HS1,3.8,Repair of hernias,735939962.5,19173.20595,378403.0127,1944.857567,Low,
HS1,3.9,Repair of gastrointestinal perforations,3179565.013,947.5291888,9491.206363,335.0011465,Medium,
HS1,4.2,Management of acute ventilatory failure,48274465.11,952.2368118,9866.286474,4892.870812,Medium,
HS1,4.3,Treatment of early-stage breast cancer,2111509.451,7974.182178,78693.72667,26.83199208,Medium,
HS1,4.4,Treatment of early-stage colorectal cancer,18641967.3,3349.761195,27086.00589,688.2508766,Medium,
