"wb2021","year_id","Code","Intervention","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","discount.rate","val","Gross.benefits","Forgone.surplus"
"LIC",2022,1.1,"IDU harm reduction measures",166738.285232347,166738.285232347,0,0,1064918.44236044,1064918.44236044,0,1,929.3788086,0,0
"LIC",2022,1.2,"Pulmonary rehabilitation",1219213.1595666,1219213.1595666,0,0,1721475.62936836,1721475.62936836,0,1,929.3788086,0,0
"LIC",2022,2.1,"Depression chronic treatment",14520130.8067638,14520130.8067638,0,0,4741789.98522573,4741789.98522573,0,1,929.3788086,0,0
"LIC",2022,2.11,"Bipolar disorder chronic treatment",15566349.4715258,15566349.4715258,0,0,524579.80313777,524579.80313777,0,1,929.3788086,0,0
"LIC",2022,2.12,"Schizophrenia chronic treatment",40284184.1088329,40284184.1088329,0,0,483436.28916618,483436.28916618,0,1,929.3788086,0,0
"LIC",2022,2.13,"Epilepsy acute and chronic treatment",8876068.35408622,8876068.35408622,0,0,1572379.33264137,1572379.33264137,0,1,929.3788086,0,0
"LIC",2022,2.14,"Asthma/COPD chronic treatment",157387700.446957,157387700.446957,0,0,1610281.09620143,1610281.09620143,0,1,929.3788086,0,0
"LIC",2022,2.3,"Diabetes screening and treatment",684786551.930586,684786551.930586,0,0,8509817.53555095,8509817.53555095,0,1,929.3788086,0,0
"LIC",2022,2.4,"CVD primary prevention",196920332.56423,196920332.56423,0,0,10254981.8612171,10254981.8612171,0,1,929.3788086,0,0
"LIC",2022,2.5,"Aspirin for suspected ACS",84430.7475665888,84430.7475665888,0,0,4851699.19032149,4851699.19032149,0,1,929.3788086,0,0
"LIC",2022,2.6,"CVD secondary prevention",350545496.47227,350545496.47227,0,0,6132009.26142448,6132009.26142448,0,1,929.3788086,0,0
"LIC",2022,2.7,"Heart failure chronic treatment",36630577.4690495,36630577.4690495,0,0,6481709.1306453,6481709.1306453,0,1,929.3788086,0,0
"LIC",2022,2.9,"Alcohol use screening/brief intervention",2977800.1598487,2977800.1598487,0,0,2012785.82267794,2012785.82267794,0,1,929.3788086,0,0
"LIC",2022,3.1,"Medical management of ACS",52984788.2870002,52984788.2870002,0,0,4851699.19032149,4851699.19032149,0,1,929.3788086,0,0
"LIC",2022,3.2,"Heart failure acute treatment",99390178.9600743,99390178.9600743,0,0,6481709.1306453,6481709.1306453,0,1,929.3788086,0,0
"LIC",2022,3.3,"Cervical cancer screening and treatment",19519124.204931,19519124.204931,0,0,1047109.5213081,1047109.5213081,0,1,929.3788086,0,0
"LIC",2022,3.4,"Asthma/COPD acute treatment",92454581.115115,92454581.115115,0,0,3331756.7255698,3331756.7255698,0,1,929.3788086,0,0
"LIC",2022,3.6,"Management of bowel obstruction",2207983.65250458,2207983.65250458,0,0,752461.642276535,752461.642276535,0,1,929.3788086,0,0
"LIC",2022,3.7,"Management of appendicitis",360085.617727549,360085.617727549,0,0,195056.1150198,195056.1150198,0,1,929.3788086,0,0
"LIC",2022,3.8,"Repair of hernias",10392252.6698959,10392252.6698959,0,0,867962.320629206,867962.320629206,0,1,929.3788086,0,0
"LIC",2022,3.9,"Repair of gastrointestinal perforations",49513.8379587141,49513.8379587141,0,0,435631.262502849,435631.262502849,0,1,929.3788086,0,0
"LIC",2022,4.1,NA,NA,NA,NA,0,4851699.19032149,4851699.19032149,0,1,929.3788086,0,0
"LIC",2022,4.2,"Management of acute ventilatory failure",3983109.33904777,3983109.33904777,0,0,3331756.7255698,3331756.7255698,0,1,929.3788086,0,0
"LIC",2022,4.3,"Treatment of early-stage breast cancer",158951.376220214,158951.376220214,0,0,1129060.50378114,1129060.50378114,0,1,929.3788086,0,0
"LIC",2022,4.4,"Treatment of early-stage colorectal cancer",1345244.20758612,1345244.20758612,0,0,435849.521949634,435849.521949634,0,1,929.3788086,0,0
"LIC",2022,5.1,"Tobacco tax",105593.134304456,105593.134304456,0,0,18565142.9569299,18565142.9569299,0,1,929.3788086,0,0
"LIC",2022,5.2,"Alcohol tax",293460.958657933,293460.958657933,0,0,6492939.53604042,6492939.53604042,0,1,929.3788086,0,0
"LIC",2022,5.3,"Tobacco policy",242717.265473037,242717.265473037,0,0,18565142.9569299,18565142.9569299,0,1,929.3788086,0,0
"LIC",2022,5.4,"Alcohol policy",180072.855605951,180072.855605951,0,0,6492939.53604042,6492939.53604042,0,1,929.3788086,0,0
"LIC",2022,5.5,"Salt policy",0,0,0,0,10254981.8612171,10254981.8612171,0,1,929.3788086,0,0
"LIC",2022,5.6,"Trans fat policy",932720.555057027,932720.555057027,0,0,4851699.19032149,4851699.19032149,0,1,929.3788086,0,0
"LIC",2023,1.1,"IDU harm reduction measures",158539.441248894,1724116.42358172,1565576.98233283,89.6524029596189,1042793.72534059,1042793.72534059,0,0.92,994.9504855,0,0
"LIC",2023,1.2,"Pulmonary rehabilitation",1166676.06743328,1411988.88967111,245312.822237824,249.714124721407,1613676.72650929,1613676.72650929,0,0.92,994.9504855,0,0
